Date,Close,市值(元),流通市值(元),自由流通市值(元),pe,PE-TTM 分位点,PE-TTM 80%分位点值,PE-TTM 50%分位点值,PE-TTM 20%分位点值
2023-07-11,13712.47,=4014213916258.6602,=3981654646831,=1805993643431.7600,29.8578,=0.2836,=39.5078,=32.9009,=28.6070
2023-07-12,13751.36,=4026163080674.2998,=3993465480805,=1810381717508.3301,29.896,=0.2874,=39.5078,=32.8915,=28.6070
2023-07-13,14299.65,=4138884060180.3599,=4105875769200,=1862163311756.8501,31.1949,=0.3901,=39.5078,=32.8833,=28.6070
2023-07-14,14271.22,=4151562832628.3301,=4118384488908,=1867856826317.1299,31.0183,=0.3739,=39.5078,=32.8751,=28.6070
2023-07-17,14067.67,=4096057672696.7305,=4063001723918,=1841670159647.2695,30.6721,=0.3398,=39.5055,=32.8748,=28.6263
2023-07-18,13992.0,=4076108425658.7412,=4043363661406,=1832491205180.0896,30.5256,=0.3266,=39.5055,=32.8746,=28.6263
2023-07-19,13984.58,=4075210623165.5698,=4042573595158,=1831800946417.9399,30.5046,=0.3254,=39.5055,=32.8673,=28.6263
2023-07-20,13982.05,=4077084736812.6499,=4044359674086,=1832620450277.2505,30.4502,=0.3219,=39.5055,=32.8600,=28.6263
2023-07-21,14282.82,=4173149283200.6099,=4139405114930,=1876411438414.1296,31.2061,=0.3928,=39.5055,=32.8578,=28.6263
2023-07-24,14125.24,=4147470011759.4302,=4114336431292,=1865582672178.5000,30.9038,=0.3641,=39.4992,=32.8555,=28.6292
2023-07-25,14908.24,=4333582410513.7988,=4298945787092,=1949380351880.1697,32.5573,=0.4814,=39.4992,=32.8555,=28.6292
2023-07-26,14913.03,=4330603806524.0898,=4295872202105,=1947438074270.0601,32.6668,=0.4889,=39.4992,=32.8554,=28.6292
2023-07-27,15114.87,=4367812264173.1899,=4332263183507,=1963620770487.4099,33.194,=0.5147,=39.4992,=32.8555,=28.6292
2023-07-28,15440.55,=4481545657633.3799,=4444526250824,=2014826083696.7800,33.9158,=0.5502,=39.4992,=32.8555,=28.6292
2023-07-31,15488.64,=4466285758227.2891,=4429913235246,=2008032208054.7605,34.235,=0.5649,=39.4947,=32.8578,=28.6295
2023-08-01,15302.76,=4449130074970.4404,=4413165604993,=2001091613820.2305,33.7985,=0.5439,=39.4947,=32.8600,=28.6295
2023-08-02,15232.38,=4426276579801.5303,=4390346896393,=1990759706205.7300,33.6485,=0.5359,=39.4947,=32.8673,=28.6295
2023-08-03,15346.28,=4438999430689.5996,=4402967779353,=1996382251372.1399,33.9311,=0.5520,=39.4947,=32.8746,=28.6295
2023-08-04,15366.95,=4460626147223.4004,=4424579691694,=2006289520436.7400,33.8456,=0.5450,=39.4947,=32.8748,=28.6295
2023-08-07,15132.59,=4421552025641.2100,=4386056087338,=1988096708193.8201,33.1949,=0.5135,=39.4923,=32.8751,=28.6315
2023-08-08,15144.58,=4424646350291.2393,=4388862739882,=1989483262683.1497,33.2889,=0.5176,=39.4923,=32.8833,=28.6315
2023-08-09,15173.64,=4430813928036.5801,=4394599143322,=1991606730413.4895,33.271,=0.5163,=39.4923,=32.8915,=28.6315
2023-08-10,15150.73,=4409061543782.4102,=4372873741179,=1981605549624.0601,33.3499,=0.5204,=39.4923,=32.9009,=28.6315
2023-08-11,14790.65,=4311088781029.7100,=4275526529558,=1936864652816.7505,32.5194,=0.4765,=39.4923,=32.8915,=28.6315
2023-08-14,14577.27,=4241082339033.2500,=4205742720679,=1905196399254.3401,32.0895,=0.4542,=39.4868,=32.8833,=28.6369
2023-08-15,14563.49,=4244897789301.7202,=4209989153172,=1907231197879.1399,32.0861,=0.4535,=39.4868,=32.8751,=28.6369
2023-08-16,14566.12,=4254631230638.0298,=4219776042331,=1911069714456.7896,31.9915,=0.4460,=39.4868,=32.8748,=28.6369
2023-08-17,14833.67,=4302408620077.8696,=4266328281978,=1932039659296.9199,32.7569,=0.4914,=39.4868,=32.8746,=28.6369
2023-08-18,14493.29,=4219056886815.8799,=4183893407411,=1894999606661.3701,31.9396,=0.4423,=39.4868,=32.8673,=28.6369
2023-08-21,14493.56,=4204570039777.7705,=4168987536516,=1887111074932.1299,31.7306,=0.4296,=39.4678,=32.8600,=28.6467
2023-08-22,14482.44,=4200626497290.1201,=4165177808768,=1885116302511.4299,31.7092,=0.4289,=39.4678,=32.8578,=28.6467
