日期,收盘点位,全收益收盘点位(元),市值(元),流通市值(元),自由流通市值(元),PE-TTM正数等权,PE-TTM 分位点,PE-TTM 80%分位点值,PE-TTM 50%分位点值,PE-TTM 20%分位点值
2025-08-27,=2723.2000,=3014.2900,=7614169923855.0674,=6159313627727,=4328623158137.4370,=39.0767,=0.5964,=49.3176,=36.4613,=29.9606
2025-08-26,=2742.1300,=3035.2400,=7683385801919.9805,=6214896821035,=4349751744107.4429,=39.7368,=0.6182,=49.3247,=36.4613,=29.9606
2025-08-25,=2762.9900,=3058.3000,=7729876804422.8779,=6247460529793,=4379472621200.8179,=39.6226,=0.6141,=49.3517,=36.4613,=29.9606
2025-08-22,=2682.5500,=2969.2700,=7533200693236.6016,=6078381187839,=4248497023637.8750,=38.7698,=0.5895,=49.4325,=36.4615,=29.9606
2025-08-21,=2595.4700,=2872.8700,=7289283653165.8018,=5892782942442,=4110039232721.2134,=38.1431,=0.5708,=49.4325,=36.4613,=29.9606
2025-08-20,=2607.6500,=2886.3600,=7307402784672.1006,=5909059122991,=4128750192904.0288,=38.2746,=0.5762,=49.4973,=36.4613,=29.9606
2025-08-19,=2601.7400,=2878.0300,=7274877823127.3896,=5886836431781,=4118792200865.5229,=37.9468,=0.5647,=49.5108,=36.4613,=29.9606
2025-08-18,=2606.2000,=2882.9600,=7302180401340.8291,=5903276981872,=4119089543988.3071,=37.8139,=0.5610,=49.5618,=36.4613,=29.9606
2025-08-15,=2534.2200,=2803.3400,=7103528313315.6191,=5774224186159,=4003892641848.3711,=37.0919,=0.5344,=49.5689,=36.4615,=29.9606
2025-08-14,=2469.6600,=2731.9200,=6935448153923.0322,=5669343806187,=3901553050051.3071,=36.2824,=0.4881,=49.5689,=36.4613,=29.9606
2025-08-13,=2496.5000,=2761.6200,=7002649057898.7500,=5696934339982,=3944802925834.4150,=36.8306,=0.5227,=49.5741,=36.4617,=29.9606
2025-08-12,=2409.4000,=2665.2600,=6794166067140.1699,=5509263109402,=3808570787985.8882,=36.2956,=0.4893,=49.5753,=36.4617,=29.9606
2025-08-11,=2379.8200,=2632.5400,=6723944975239.8291,=5449620579488,=3762198989338.9922,=36.1578,=0.4806,=49.6157,=36.4630,=29.9606
2025-08-08,=2333.9600,=2581.8100,=6602134237940.7422,=5354091699198,=3690245641162.7319,=35.6201,=0.4570,=49.6301,=36.4762,=29.9606
2025-08-07,=2342.8600,=2591.6600,=6630423525953.4102,=5324379204402,=3702722768383.0801,=35.6876,=0.4592,=49.6301,=36.4891,=29.9606
2025-08-06,=2358.9500,=2609.4600,=6672862227817.3594,=5358399904864,=3727391236918.2290,=35.8258,=0.4675,=49.6408,=36.4902,=29.9606
2025-08-05,=2343.3800,=2592.2300,=6624233966483.4414,=5325993396479,=3703163844241.8701,=35.6573,=0.4576,=49.6501,=36.4920,=29.9606
2025-08-04,=2334.3200,=2582.2100,=6600367483194.2100,=5292784297757,=3688757320682.5098,=35.5310,=0.4514,=49.6502,=36.5006,=29.9606
2025-08-01,=2322.6300,=2569.2800,=6566566384263.7900,=5297978251731,=3670350660929.1938,=35.2114,=0.4323,=49.6663,=36.5092,=29.9606
2025-07-31,=2328.3100,=2575.5700,=6586612222027.0303,=5313099641742,=3679712533214.5908,=34.7130,=0.4098,=49.6663,=36.5134,=29.9606
2025-07-30,=2367.6800,=2619.1200,=6707037123476.2285,=5317228366369,=3741674869731.0420,=35.4020,=0.4452,=49.6707,=36.5178,=29.9606
2025-07-29,=2406.5900,=2662.1600,=6816875696870.4014,=5401760736869,=3802052728729.6758,=35.5934,=0.4530,=49.7300,=36.5178,=29.9606
2025-07-28,=2362.6000,=2613.4900,=6702301829162.0088,=5275390348787,=3732746950711.6299,=35.2891,=0.4386,=49.7635,=36.5247,=29.9606
2025-07-25,=2340.0600,=2588.5600,=6650461371087.4092,=5227210568731,=3698572459883.4541,=35.2646,=0.4352,=49.8448,=36.5401,=29.9606
2025-07-24,=2345.3700,=2594.4300,=6665714718825.9277,=5239481492370,=3706733997417.5571,=35.2357,=0.4333,=49.8448,=36.5477,=29.9606
2025-07-23,=2310.6700,=2556.0500,=6570033169496.9111,=5165921419621,=3651453571435.1382,=34.6496,=0.4061,=49.8491,=36.5491,=29.9606
2025-07-22,=2310.8600,=2556.2500,=6568741604708.7012,=5164628314143,=3651264486860.1392,=34.7392,=0.4098,=49.8928,=36.5521,=29.9606
2025-07-21,=2296.8800,=2540.8000,=6530540181640.6992,=5131554092497,=3629431120317.7788,=34.4516,=0.3966,=49.9208,=36.5534,=29.9606
2025-07-18,=2277.1500,=2518.9700,=6474866706325.2090,=5084853860004,=3598536581625.9819,=34.1936,=0.3866,=49.9368,=36.5576,=29.9606
2025-07-17,=2269.3300,=2510.2400,=6446479328576.9199,=5061267735930,=3585535613434.9692,=34.1541,=0.3843,=49.9368,=36.5578,=29.9606
2025-07-16,=2230.1900,=2466.9100,=6345242947721.8916,=4978316708208,=3524375045843.1577,=33.8599,=0.3752,=49.9774,=36.5660,=29.9606
2025-07-15,=2235.0500,=2472.1800,=6361240277758.9189,=4996180738144,=3531984398675.5898,=33.8148,=0.3719,=50.0128,=36.5704,=29.9606
2025-07-14,=2197.0700,=2430.1700,=6283890812076.2080,=4921806356953,=3472560524483.0425,=33.6979,=0.3678,=50.0128,=36.5777,=29.9606
2025-07-11,=2207.1000,=2441.2400,=6311811541024.4814,=4943966869068,=3488073955790.7310,=33.7524,=0.3693,=50.0337,=36.5925,=29.9606
2025-07-10,=2189.5800,=2421.7000,=6260965595134.1797,=4905927137929,=3459976710429.2065,=33.6266,=0.3653,=50.0337,=36.5981,=29.9606
2025-07-09,=2184.6700,=2416.2800,=6256248443633.2988,=4894461962931,=3451695475200.2241,=33.5381,=0.3624,=50.0794,=36.6048,=29.9606
2025-07-08,=2181.0800,=2412.2000,=6239229476815.8379,=4885064811115,=3446698337356.6348,=33.5357,=0.3620,=50.0845,=36.6068,=29.9606
