日期,收盘点位,全收益收盘点位(元),市值(元),流通市值(元),自由流通市值(元),PE-TTM正数等权,PE-TTM 分位点,PE-TTM 80%分位点值,PE-TTM 50%分位点值,PE-TTM 20%分位点值
2010-03-29,=3312.5850,,=9101795161839.9004,=3696737196133,=1149685685646.3103,=28.7472,=0.7133,=29.8636,=23.7296,=12.1723
2010-03-26,=3242.8880,,=8915195481578.6992,=3611778380244,=1125707619286.2698,=28.2801,=0.6860,=29.8636,=23.6952,=12.1723
2010-03-25,=3206.9370,,=8819411328617,=3572857115830,=1116308720217.1899,=27.8709,=0.6652,=29.8636,=23.6607,=12.1723
2010-03-24,=3239.4200,,=8901484903974.4980,=3605228549536,=1128686848642.2698,=28.4150,=0.6935,=29.8976,=23.6211,=12.1369
2010-03-23,=3239.6500,,=8882497388500.5996,=3587088994286,=1128438545871.3799,=29.4903,=0.7601,=29.8976,=23.5814,=12.1369
2010-03-22,=3259.2110,,=8925102127793,=3604333781574,=1137506527784.7180,=30.5113,=0.8360,=29.8976,=23.4833,=12.1369
2010-03-19,=3252.4210,,=8914373638702.5000,=3597331717097,=1134828213157.8325,=30.6451,=0.8423,=29.8636,=23.3851,=12.1369
2010-03-18,=3227.6300,,=8873066775717,=3584140352750,=1126571271482.5725,=30.7024,=0.8465,=29.8474,=23.3752,=12.1369
2010-03-17,=3235.2700,,=8905209053126.9004,=3596658211229,=1129323062889.4438,=30.9063,=0.8688,=29.8474,=23.3653,=12.0559
2010-03-16,=3170.7470,,=8780241664707.7012,=3542433046023,=1104751463536.0796,=30.1674,=0.8231,=29.8291,=23.2325,=12.0559
2010-03-15,=3167.8390,,=8773829182843.7002,=3537834293312,=1103534751148.1057,=30.0680,=0.8136,=29.8278,=23.0997,=12.0559
2010-03-12,=3216.4600,,=8880532321409,=3578171508140,=1120351232580.9338,=30.1632,=0.8223,=29.8050,=23.0351,=12.0559
2010-03-11,=3260.3430,,=8970633745320.7988,=3615230836719,=1135462442655.9558,=30.6015,=0.8425,=29.7815,=22.9704,=12.0559
2010-03-10,=3264.7350,,=8938414619487.7988,=3608924287209,=1137424875067.8557,=30.3547,=0.8330,=29.7815,=22.9082,=11.9969
2010-03-09,=3290.5180,,=8988441271553.5000,=3634470030725,=1146372488418.5840,=30.7274,=0.8532,=29.7563,=22.8460,=11.9969
2010-03-08,=3272.2880,,=8935893236451,=3611456938016,=1140651839815.5220,=30.7280,=0.8552,=29.7223,=22.2887,=11.9969
2010-03-05,=3240.1090,,=8893045042409.5996,=3587951100532,=1129622331912.9158,=30.4287,=0.8433,=29.7190,=21.7314,=11.9969
2010-03-04,=3234.4420,,=8884452913150.6992,=3587213080892,=1127562598160.4114,=30.1471,=0.8314,=29.6319,=21.6249,=11.9969
2010-03-03,=3316.4420,,=9044210871025.5996,=3653119022347,=1156634560332.1294,=31.1069,=0.8843,=29.6319,=21.5184,=11.9623
2010-03-02,=3291.0890,,=9001824143186.5996,=3630425221953,=1147925456034.7300,=30.8252,=0.8631,=29.6166,=21.5019,=11.9623
2010-03-01,=3311.5060,,=9045955167555.1992,=3643363262978,=1154796130013.3176,=30.9200,=0.8721,=29.5970,=21.4853,=11.9623
2010-02-26,=3270.3480,,=8963089310179.9004,=3603771809638,=1140759038339.6675,=30.6067,=0.8531,=29.5565,=21.2635,=11.9623
2010-02-25,=3289.5960,,=9008830555837.5996,=3620778217599,=1147468648682.6494,=30.7269,=0.8598,=29.5385,=21.0417,=11.9623
2010-02-24,=3256.4490,,=8920720903417.3008,=3583300854079,=1135958679612.7981,=30.3601,=0.8501,=29.5385,=21.0113,=11.8593
2010-02-23,=3207.4710,,=8840918050245.5000,=3549197448169,=1118762388805.5002,=29.8050,=0.8239,=29.5072,=20.9809,=11.8593
2010-02-22,=3225.1620,,=8908537381816.0996,=3571184732539,=1124734800361.2759,=29.7815,=0.8235,=29.5032,=20.9573,=11.8593
2010-02-12,=3242.1850,,=8964934810890.6992,=3589329836364,=1130617973622.0798,=29.8474,=0.8302,=29.4928,=20.9337,=11.8593
2010-02-11,=3205.4620,,=8868712844125.6992,=3553363294945,=1117966808059.3459,=29.5072,=0.8061,=29.4850,=20.9140,=11.8593
2010-02-10,=3195.4160,,=8847825386345.8984,=3546954453512,=1114528454955.4138,=29.5970,=0.8128,=29.4850,=20.8942,=11.8515
2010-02-09,=3162.0110,,=8783717657512.8018,=3519532583693,=1102893438623.1902,=29.3283,=0.7910,=29.4741,=20.8582,=11.8515
2010-02-08,=3139.1140,,=8748096412358.7002,=3504678707652,=1095221516838.8180,=29.1084,=0.7714,=29.4741,=20.8222,=11.8515
2010-02-05,=3135.6500,,=8752909696239.5996,=3508008145846,=1094100185022.9104,=29.0757,=0.7709,=29.4741,=20.7838,=11.8515
2010-02-04,=3205.0260,,=8902600909127,=3563875250016,=1117970980264.4380,=29.7190,=0.8182,=29.4741,=20.7453,=11.8515
2010-02-03,=3222.6360,,=8973278863086.5000,=3583905357953,=1123874039744.1418,=29.7223,=0.8201,=29.4741,=20.6719,=11.8392
2010-02-02,=3132.7290,,=8760349726544.9980,=3492152180420,=1093186652429.2196,=29.0362,=0.7740,=29.4568,=20.5984,=11.8392
2010-02-01,=3139.1040,,=8750977576247.6016,=3489025478405,=1095757177769.1100,=29.1670,=0.7783,=29.4568,=20.4583,=11.8392
2010-01-29,=3197.6970,,=8899578659905.2012,=3545286490506,=1115814786498.9541,=29.6166,=0.8164,=29.4568,=20.3182,=11.8392
2010-01-28,=3197.5910,,=8910900194168.9004,=3550204406563,=1115586396502.5818,=29.5385,=0.8136,=29.4557,=20.2788,=11.8392
2010-01-27,=3196.6010,,=8933352131031.5000,=3554795235166,=1114948914395.9919,=29.2687,=0.7937,=29.4557,=20.2394,=11.8293
2010-01-26,=3238.7980,,=9046734695717.9004,=3600966088195,=1129703142942.4341,=29.4850,=0.8078,=29.4557,=20.1444,=11.8293
2010-01-25,=3321.6090,,=9183323399381.7012,=3652387229023,=1156596310300.2681,=30.3458,=0.8439,=29.4093,=20.0493,=11.8293
2010-01-22,=3370.2000,,=9301308928723.2012,=3697065842177,=1175294278643.8096,=30.8441,=0.8606,=29.2966,=20.0294,=11.8293
2010-01-21,=3412.3840,,=9283607923510.3008,=3706747428016,=1189975846680.5242,=31.3700,=0.8897,=29.2674,=20.0094,=11.8293
2010-01-20,=3407.7330,,=9247188419275.4004,=3679533547978,=1187746905334.6599,=31.2754,=0.8870,=29.2674,=19.7983,=11.8114
2010-01-19,=3520.8780,,=9470162069615.0996,=3785910854471,=1227031407976.1702,=32.2217,=0.9261,=29.2456,=19.5872,=11.8114
2010-01-18,=3515.6230,,=9443480667720.9980,=3787804079228,=1225484100177.8218,=32.2736,=0.9284,=29.2266,=19.4745,=11.8114
2010-01-15,=3483.3170,,=9422113384816.1992,=3768514856971,=1214227372367.9077,=31.8087,=0.9233,=29.1774,=19.3618,=11.8114
2010-01-14,=3478.3600,,=9438957977085.4004,=3767304149151,=1212271848860.0200,=31.6955,=0.9206,=29.1226,=19.3458,=11.8114
2010-01-13,=3427.6900,,=9376272478933.7012,=3734955264413,=1194505070318.5259,=31.0613,=0.8881,=29.1226,=19.3298,=11.7925
2010-01-12,=3541.3910,,=9748115890129.7988,=3880506054644,=1233711869103.4558,=31.6563,=0.9202,=29.0004,=19.2932,=11.7925
2010-01-11,=3476.1330,,=9562295480673.1992,=3827552476496,=1210445158080.8501,=30.9502,=0.8875,=28.8878,=19.2566,=11.7925
2010-01-08,=3478.9160,,=9463344785576.9004,=3804734123428,=1211148311325.1321,=30.9311,=0.8872,=28.8647,=19.1571,=11.7925
2010-01-07,=3480.2830,,=9478846594027.1992,=3796278609540,=1211611935879.5920,=30.7971,=0.8819,=28.7926,=19.0575,=11.7925
2010-01-06,=3559.6400,,=9647567822551.6992,=3884661874435,=1239282311360.7842,=31.4496,=0.9043,=28.7926,=19.0382,=11.6989
2010-01-05,=3569.8530,,=9738480068772.8008,=3909538433777,=1242799871471.2625,=31.5150,=0.9116,=28.7310,=19.0189,=11.6989
2010-01-04,=3532.2050,,=9610845719363,=3873537524423,=1230348702085.7776,=31.2588,=0.9013,=28.6941,=18.9996,=11.6989
2009-12-31,=3566.1180,,=2515509191931.2002,=1671525943055,=892478160273.9600,=33.4524,=0.9670,=28.6587,=18.9803,=11.6989
2009-12-30,=3555.8450,,=2511043523174.3989,=1668747927389,=892928596517.9381,=33.2442,=0.9593,=28.5925,=18.9562,=11.6989
2009-12-29,=3518.8760,,=2481875425761.1001,=1647906198795,=883852701322.8037,=33.0297,=0.9566,=28.5925,=18.9322,=11.6729
2009-12-28,=3504.7470,,=2474091500727.5005,=1639871066599,=880381963989.5757,=32.8786,=0.9540,=28.5522,=18.8997,=11.6729
