日期,收盘点位,全收益收盘点位(元),市值(元),流通市值(元),自由流通市值(元),PE-TTM正数等权,PE-TTM 分位点,PE-TTM 80%分位点值,PE-TTM 50%分位点值,PE-TTM 20%分位点值
2021-11-19,=834.4400,=1021.4300,=3572086199503.3999,=2659031138957,=1676998091721.2695,=21.1420,=0.1283,=35.8974,=29.6279,=22.8368
2021-11-18,=817.6800,=1000.9200,=3494884426683.6899,=2602360942363,=1643177972964.0305,=20.6586,=0.1240,=35.8974,=29.6308,=22.8424
2021-11-17,=826.5800,=1011.6800,=3535005757843.9512,=2632260715135,=1661204189027.6001,=20.9115,=0.1250,=35.8980,=29.6336,=22.8424
2021-11-16,=826.9200,=1012.1000,=3538826645127.7305,=2635165552891,=1661946061683.5298,=20.9521,=0.1260,=35.8980,=29.6362,=22.8565
2021-11-15,=839.0800,=1026.9900,=3587165735273.9102,=2670434724629,=1686395872133.9097,=21.1622,=0.1271,=35.8980,=29.6387,=22.8609
2021-11-12,=844.3100,=1033.3800,=3614564893692.9600,=2689437764845,=1697556450830.6504,=21.3076,=0.1276,=35.8980,=29.6418,=22.8621
2021-11-11,=847.9000,=1037.7800,=3632863406201.9189,=2702174159691,=1704816838328.2903,=21.3961,=0.1277,=35.8980,=29.6449,=22.8652
2021-11-10,=823,=1007.3000,=3529837287497.3604,=2625277098967,=1655119833664.3206,=20.9144,=0.1253,=35.9072,=29.6676,=22.8652
2021-11-09,=825.6200,=1010.5100,=3537368121830.5005,=2631183868550,=1659843155235.6997,=20.9145,=0.1254,=35.9072,=29.6902,=22.8695
2021-11-08,=819.7600,=1003.1500,=3514038148765.0503,=2611869060808,=1647796181149.6599,=20.7753,=0.1249,=35.9072,=29.6916,=22.8736
2021-11-05,=811.3300,=992.8400,=3472366787987.2910,=2585532494929,=1630629117532.9202,=20.5597,=0.1230,=35.9072,=29.6930,=22.8740
2021-11-04,=813.8900,=995.9800,=3485839202460.0601,=2592503375055,=1635641780493.7200,=20.6547,=0.1236,=35.9072,=29.6936,=22.8858
2021-11-03,=813.7600,=995.8200,=3485883311132.5396,=2592291733857,=1635155326067.8398,=20.6685,=0.1236,=35.9089,=29.6942,=22.8858
2021-11-02,=811.9600,=993.6100,=3483725648699.7192,=2589534564595,=1619702548115.6001,=20.6480,=0.1232,=35.9089,=29.6979,=22.8937
2021-11-01,=828.3100,=1013.6200,=3550364750421.5396,=2632342444288,=1652173808546.1096,=21.0641,=0.1238,=35.9089,=29.7017,=22.8965
2021-10-29,=824.2300,=1008.6300,=3521956356268.9902,=2611981268974,=1641626373681.2302,=20.9786,=0.1233,=35.9089,=29.7039,=22.9082
2021-10-28,=817.4300,=1000.3000,=3499133552790.7900,=2590884370236,=1624602154201.4717,=21.2087,=0.1234,=35.9089,=29.7061,=22.9121
2021-10-27,=823.5600,=1007.8000,=3523168469440.4805,=2609453619442,=1632204511903.1716,=21.4294,=0.1239,=35.9152,=29.7062,=22.9121
2021-10-26,=845.9300,=1035.1700,=3628488393823.2900,=2680277556979,=1675592744614.7920,=22.0494,=0.1344,=35.9152,=29.7062,=22.9145
2021-10-25,=855.7300,=1047.1800,=3677757299765.5610,=2696341137146,=1695315281251.3406,=22.4116,=0.1509,=35.9152,=29.7102,=22.9191
2021-10-22,=843.4800,=1032.1800,=3629708116289.7612,=2659093154408,=1670846847006.5652,=22.1027,=0.1365,=35.9152,=29.7142,=22.9197
2021-10-21,=843.0100,=1031.6100,=3623349895769.3989,=2657397550816,=1670397935067.5166,=22.0783,=0.1351,=35.9152,=29.7168,=22.9265
2021-10-20,=841.2600,=1029.4700,=3620289132413.8906,=2652905993491,=1666273397465.3333,=22.1198,=0.1367,=35.9276,=29.7194,=22.9265
