日期,收盘点位,全收益收盘点位(元),市值(元),流通市值(元),自由流通市值(元),PE-TTM正数等权,PE-TTM 分位点,PE-TTM 80%分位点值,PE-TTM 50%分位点值,PE-TTM 20%分位点值
2019-08-30,=1157.0600,=1245.2200,=2767645684914.2012,=2244650339246,=1203833406393.1655,=21.3907,=0.1282,=36.0843,=32.3431,=26.0084
2019-08-29,=1171.4600,=1260.7200,=2788483548362.7012,=2262607042738,=1210893792367.3796,=21.4920,=0.1360,=36.0843,=32.3436,=26.0246
2019-08-28,=1176.3700,=1266.0100,=2808186057139.5005,=2276777179543,=1221866995122.5381,=21.4189,=0.1301,=36.0843,=32.3469,=26.0496
2019-08-27,=1177.1800,=1266.8700,=2810004769990.7002,=2277678117816,=1221180395621.7554,=21.1250,=0.1177,=36.0865,=32.3502,=26.0496
2019-08-26,=1158.6400,=1246.9200,=2765795189781.7012,=2240566094962,=1197640352558.9624,=20.6194,=0.0898,=36.0865,=32.3526,=26.0545
2019-08-23,=1173.5600,=1262.6000,=2798983163192.3003,=2266137631978,=1155831166005.9558,=20.4725,=0.0851,=36.0865,=32.3550,=26.0556
2019-08-22,=1179.8400,=1269.3600,=2813304002402.7012,=2264618053172,=1159519268951.4910,=20.5055,=0.0858,=36.0865,=32.3552,=26.1464
2019-08-21,=1180.1300,=1269.6600,=2814252333594.0005,=2264611409307,=1157387066794.6267,=20.5321,=0.0870,=36.0865,=32.3554,=26.1984
2019-08-20,=1168.8400,=1257.5200,=2793988165217.7988,=2248703883257,=1147121376835.5117,=20.3964,=0.0829,=36.1020,=32.3608,=26.1984
2019-08-19,=1171.0900,=1259.9500,=2818186921709.5000,=2270733756964,=1156968490288.1421,=20.3438,=0.0811,=36.1020,=32.3662,=26.2091
2019-08-16,=1136.7000,=1222.7300,=2739031304058.3008,=2189382346642,=1124360573329.6897,=19.6755,=0.0675,=36.1020,=32.3677,=26.2815
2019-08-15,=1135.6400,=1221.2300,=2735925170629.2002,=2187282147804,=1123557527325.1665,=19.7063,=0.0699,=36.1020,=32.3692,=26.2933
2019-08-14,=1133.6900,=1219.1200,=2727330830126.1001,=2179010956448,=1119216059534.1189,=19.7194,=0.0705,=36.1020,=32.3700,=26.3195
2019-08-13,=1125.7200,=1210.5600,=2711137545796.5000,=2167183575412,=1112761465876.0427,=19.6089,=0.0646,=36.1023,=32.3707,=26.3195
2019-08-12,=1132.7300,=1218.1000,=2728003463132.3003,=2178420578758,=1120106902392.2100,=19.7629,=0.0706,=36.1023,=32.3727,=26.3236
2019-08-09,=1117.5000,=1201.7200,=2699309434749.5000,=2153227545219,=1105936272418.7029,=19.5142,=0.0623,=36.1023,=32.3747,=26.3638
