日期,收盘点位,全收益收盘点位(元),市值(元),流通市值(元),自由流通市值(元),PE-TTM正数等权,PE-TTM 分位点,PE-TTM 80%分位点值,PE-TTM 50%分位点值,PE-TTM 20%分位点值
2019-09-24,=8912.0300,=9470.6000,=910012467188.9000,=660274902426,=403375415460.2213,=37.3211,=0.2321,=63.6620,=56.4247,=35.6239
2019-09-23,=8695.6000,=9240.6100,=887122520887.1000,=643545811504,=393788180509.5086,=36.8495,=0.2248,=63.6620,=56.4289,=35.6239
2019-09-20,=8829.6300,=9383.0400,=900549429684.4000,=654369130688,=400368718716.7386,=37.1273,=0.2288,=63.6773,=56.4331,=35.6012
2019-09-19,=8798.4700,=9349.9200,=894718913219.0001,=650126703510,=398299432789.7066,=36.9430,=0.2262,=63.6773,=56.4465,=35.6012
2019-09-18,=8653.2600,=9195.6200,=881716375144.5000,=640534119509,=392271215440.6069,=36.3862,=0.2236,=63.6773,=56.4599,=35.6012
2019-09-17,=8592.9900,=9131.5700,=871400516367.8998,=633733612862,=388913997164.1402,=36.2605,=0.2210,=63.6773,=56.4613,=35.6012
2019-09-16,=8754.7700,=9303.4900,=885218739643.8000,=643941598237,=396144884018.7804,=37.0675,=0.2259,=63.6773,=56.4627,=35.6012
2019-09-12,=8700.7100,=9246.0400,=879338045308.7000,=639303169697,=393477808290.3056,=36.8909,=0.2242,=63.6995,=56.4796,=35.5708
2019-09-11,=8627.5700,=9168.3200,=874257792636.9000,=635015863874,=390442280808.9281,=36.7582,=0.2235,=63.6995,=56.4966,=35.5708
2019-09-10,=8741.2400,=9289.1100,=885383440223.1998,=643641486983,=395563420891.1932,=37.1870,=0.2246,=63.6995,=56.5064,=35.5708
2019-09-09,=8700.3200,=9245.6300,=881350344677.2000,=639338094178,=393694617095.3007,=37.0171,=0.2239,=63.6995,=56.5163,=35.5708
2019-09-06,=8593.1100,=9131.6900,=872831540823.0999,=633124917191,=389285648398.9975,=36.3162,=0.2232,=63.6995,=56.5403,=35.5708
2019-09-05,=8531.3800,=9066.1000,=867416955162.1000,=629083220379,=386703266627.5571,=35.9944,=0.2186,=63.7261,=56.5643,=35.5617
2019-09-04,=8508.2300,=9041.5000,=866553904781.7998,=628430208375,=385475298025.0215,=35.7431,=0.2093,=63.7261,=56.5667,=35.5617
2019-09-03,=8559.6200,=9096.1100,=872321998347.2001,=633389685919,=388433203041.6218,=35.6786,=0.2067,=63.7261,=56.5691,=35.5617
2019-09-02,=8623.6300,=9164.1300,=881448740758.1001,=639921512887,=392559229599.2241,=35.7863,=0.2097,=63.7261,=56.5763,=35.5617
2019-08-30,=8407.0300,=8933.9500,=862409304669.7999,=602198851746,=383528229737.4540,=35.7605,=0.2090,=63.7261,=56.5835,=35.5617
2019-08-29,=8420.5800,=8948.3600,=856626093409.6001,=598876592444,=381431138916.0661,=35.6012,=0.2025,=63.8137,=56.5839,=35.5561
2019-08-28,=8427.7300,=8955.9500,=859643144407.2999,=600291601571,=375885231912.9367,=35.6351,=0.2046,=63.8137,=56.5843,=35.5561
2019-08-27,=8492.6700,=9024.9600,=863994815240.1998,=603872574609,=377211982573.3073,=36.1299,=0.2144,=63.8137,=56.5843,=35.5561
2019-08-26,=8413.4200,=8940.7500,=854825238725.6001,=597658104248,=373279788286.8313,=35.7306,=0.2069,=63.8137,=56.5843,=35.5561
2019-08-23,=8396.5900,=8922.8600,=855767818777.5000,=597382621924,=372618573362.4514,=35.8530,=0.2081,=63.8137,=56.5919,=35.5561
2019-08-22,=8236.3300,=8752.5500,=834047359217.2000,=582931021190,=363390647546.6754,=35.3535,=0.1939,=63.8348,=56.5995,=35.5532
2019-08-21,=8209.8400,=8724.4000,=831367096047.0001,=580054927473,=361914093924.9516,=35.3479,=0.1931,=63.8348,=56.6091,=35.5561
2019-08-20,=8285.5800,=8804.8900,=837820300522.0001,=583970610140,=364897316633.3153,=35.6281,=0.2029,=63.8348,=56.6186,=35.5617
2019-08-19,=8225.3300,=8740.8600,=829075297031.2001,=578142332187,=335025068807.6341,=35.4363,=0.1954,=63.8348,=56.6288,=35.5617
2019-08-16,=8050.6300,=8555.2100,=811749855596.6001,=578165023919,=328003291586.8498,=34.4965,=0.1715,=63.8348,=56.6391,=35.5708
2019-08-15,=8002.3100,=8503.8700,=801281304965.7000,=569346594003,=326026929442.6684,=34.1568,=0.1620,=63.8855,=56.6720,=35.5708
2019-08-14,=7917.9100,=8414.1800,=796254343639.0001,=565979242914,=322824231667.6918,=33.6521,=0.1544,=63.8855,=56.7049,=35.6239
2019-08-13,=7788.6100,=8276.7800,=784259892699.4999,=557312615020,=317724402487.3070,=33.3129,=0.1478,=63.8855,=56.7059,=35.6691
2019-08-12,=7808.1600,=8297.5500,=782974619921.4999,=557416575486,=318169612264.8226,=33.4933,=0.1509,=63.8855,=56.7069,=35.6847
2019-08-09,=7677.5300,=8158.7300,=768025552899.3000,=546613890992,=312756391680.1496,=32.8027,=0.1297,=63.8855,=56.7190,=35.8405
2019-08-08,=7675.1600,=8156.2100,=765960904344.2999,=545795927733,=312530763019.0235,=32.9478,=0.1357,=63.9500,=56.7310,=35.8405
2019-08-07,=7526.2300,=7997.9500,=750371365832.7000,=534800714767,=306503009063.8809,=32.6070,=0.1212,=63.9500,=56.7446,=35.8856
2019-08-06,=7524.7700,=7996.3900,=748835711208,=533945931886,=306428852551.0619,=32.7277,=0.1252,=63.9500,=56.7583,=35.9017
2019-08-05,=7608.8100,=8085.7000,=755392450195.5000,=539302776905,=309743686548.2523,=33.4634,=0.1467,=63.9500,=56.7639,=35.9225
2019-08-02,=7689.2200,=8171.1600,=765110347480.0001,=545789256887,=313002881324.6116,=33.8148,=0.1498,=63.9500,=56.7695,=35.9522
2019-08-01,=7689.3100,=8171.2500,=765977440545.9000,=527470410559,=311712019739.7056,=34.2612,=0.1558,=63.9541,=56.7729,=35.9522
2019-07-31,=7714.5100,=8198.0200,=769355147385.2001,=529408267055,=312786222357.0669,=34.4481,=0.1598,=63.9541,=56.7762,=35.9737
2019-07-30,=7784.9900,=8272.9200,=776892790360.6001,=534285053710,=315654797500.2930,=34.7739,=0.1707,=63.9541,=56.7901,=36.1723
2019-07-29,=7734.8500,=8219.6400,=774501556392.4999,=532337594400,=313526594981.7722,=34.8047,=0.1719,=63.9541,=56.8040,=36.1843
2019-07-26,=7805.0400,=8294.2300,=779730826020.5001,=536290770615,=316461284505.5386,=34.8380,=0.1720,=63.9541,=56.8319,=36.2644
2019-07-25,=7745.3300,=8230.7800,=772178929014.4001,=530441372044,=313914505447.4394,=34.7985,=0.1712,=63.9592,=56.8599,=36.2644
2019-07-24,=7723.0500,=8207.1100,=770092446815.4000,=529072328294,=312920766140.9303,=34.6587,=0.1665,=63.9592,=56.8925,=37.2277
2019-07-23,=7647.5200,=8126.8400,=762661281593.8002,=524007906081,=309878180896.6225,=34.4783,=0.1618,=63.9592,=56.9251,=37.3858
2019-07-22,=7584.7200,=8060.1000,=755610709452.9999,=519471829740,=307174489094.2564,=33.9737,=0.1531,=63.9592,=56.9756,=37.4191
2019-07-19,=7695.6300,=8177.9700,=766385364531.2001,=526344415506,=311644749173.9968,=34.9818,=0.1719,=63.9592,=57.0261,=37.5420
2019-07-18,=7658.6200,=8138.6300,=761699999577.4999,=523583623184,=310053456291.4412,=34.8583,=0.1691,=63.9617,=57.0323,=37.5420
2019-07-17,=7795.0800,=8283.6500,=774357690180.3999,=532642758416,=315413289332.0698,=35.5617,=0.1821,=63.9617,=57.0384,=37.5665
2019-07-16,=7857.1700,=8349.6300,=778266980448.7999,=535303914354,=317924697306.4242,=35.9225,=0.1892,=63.9617,=57.0447,=37.5780
2019-07-15,=7883.0400,=8376.9900,=781076099395.0001,=537421949808,=319090966765.3243,=35.9017,=0.1884,=63.9617,=57.0509,=37.8777
2019-07-12,=7820.7500,=8310.7900,=775444177779.3000,=532915827772,=316487026441.3480,=35.9522,=0.1885,=63.9617,=57.0761,=38.0137
2019-07-11,=7804.3600,=8292.3500,=773076102279.9999,=531660556709,=315827544985.7174,=35.5708,=0.1828,=63.9637,=57.1014,=38.0137
2019-07-10,=7714.3800,=8195.6700,=767222036917.2000,=527289328750,=312152475248.7874,=35.0559,=0.1731,=63.9637,=57.1028,=38.1007
2019-07-09,=7717.4100,=8196.1500,=767679706353.0999,=527911610145,=312093990439.6491,=35.0159,=0.1723,=63.9637,=57.1042,=38.1149
2019-07-08,=7664.6400,=8140.1000,=764298745976.3999,=525202460545,=310101770758.9423,=34.5387,=0.1625,=63.9637,=57.1054,=38.1384
2019-07-05,=7828.8000,=8314.4500,=779378815758.3000,=535355554931,=316388409063.4096,=35.5439,=0.1776,=63.9637,=57.1065,=38.1873
2019-07-04,=7765.6300,=8247.3600,=773798404026.5000,=531210034346,=313649006755.0824,=35.3360,=0.1738,=64.0472,=57.1213,=38.1873
2019-07-03,=7879.5600,=8368.3600,=784723782689.5000,=539410302858,=318447479327.9026,=35.6239,=0.1789,=64.0472,=57.1360,=38.2453
2019-07-02,=7994.1800,=8489.7200,=796451499462.7000,=547814617575,=323064966865.7261,=35.9737,=0.1831,=64.0472,=57.1379,=38.3037
2019-07-01,=7866.8200,=8352.3700,=782034355453.2999,=538291112192,=317871151309.1952,=35.5532,=0.1773,=64.0472,=57.1397,=38.3909
2019-06-28,=7663.0100,=8131.8600,=759224457822.7002,=522944007987,=309430086497.9839,=34.5628,=0.1635,=64.0472,=57.1464,=38.5058
2019-06-27,=7739.7900,=8213.3400,=766129342912,=527791534401,=312439360867.3622,=35.1186,=0.1717,=64.1045,=57.1531,=38.5058
2019-06-26,=7671.5500,=8140.7400,=759800776898.8999,=524215145463,=309782517634.4577,=34.8867,=0.1698,=64.1045,=57.2060,=38.7477
2019-06-25,=7501.6500,=7960.4500,=742713200230.7999,=512753251178,=303248246941.2139,=34.4123,=0.1610,=64.1045,=57.2589,=39.4691
2019-06-24,=7554.6800,=8016.4000,=749013869728.7001,=516630652111,=305325195118.9933,=34.6393,=0.1642,=64.1045,=57.2618,=39.5440
2019-06-21,=7551.9700,=8013.5300,=749901341924.3000,=516457295812,=305196663020.6583,=34.7018,=0.1643,=64.1045,=57.2648,=39.7591
2019-06-20,=7469.6100,=7921.9200,=744015049688.5999,=512933524111,=302126945189.5546,=34.1182,=0.1565,=64.1545,=57.2649,=39.7591
2019-06-19,=7309.6000,=7749.4000,=730194557189.2999,=503107194589,=295650822569.0186,=33.5322,=0.1526,=64.1545,=57.2650,=39.9255
2019-06-18,=7240.0700,=7674.8900,=723776700043.8000,=497911699393,=292946402066.9555,=33.1618,=0.1457,=64.1545,=57.2881,=40.0339
2019-06-17,=7147.5200,=7576.0100,=715608113154.2000,=492306033793,=289242081883.9999,=32.8222,=0.1338,=64.1545,=57.3111,=40.1987
2019-06-14,=7187.3700,=7618.2500,=623645549866.0999,=445027051276,=295516160438.0243,=30.5860,=0.0876,=64.1545,=57.3252,=40.3575
2019-06-13,=7245.4500,=7679.8200,=628895444289.4000,=449123048662,=297928863592.5753,=31.0510,=0.0938,=64.1634,=57.3392,=40.3575
2019-06-12,=7211.8400,=7643.4200,=626063645576.5999,=447440796152,=296572547425.7088,=30.9106,=0.0918,=64.1634,=57.3455,=40.7871
2019-06-11,=7258.9600,=7693.3600,=628846669869.8002,=449924825399,=298408344632.5154,=31.0792,=0.0929,=64.1634,=57.3517,=41.0929
2019-06-10,=7017.3500,=7436.3500,=607976294971.7001,=435061963020,=288413477610.8664,=30.0190,=0.0748,=64.1634,=57.3833,=41.2699
2019-06-06,=6927.9100,=7341.5500,=600233875910.6000,=429615936500,=284743476884.2307,=29.7595,=0.0729,=64.1634,=57.4149,=41.4942
