日期,收盘点位,市值(元),流通市值(元),自由流通市值(元),PE-TTM正数等权,PE-TTM 分位点,PE-TTM 80%分位点值,PE-TTM 50%分位点值,PE-TTM 20%分位点值
2018-01-29,=3523.0007,=42231346186819.8828,=30291007476143,=12823024582937.4063,=29.5605,=0.4355,=36.4534,=31.2942,=21.8749
2018-01-26,=3558.1288,=42651388034114.4922,=30543072860495,=13004467911307.9180,=29.8080,=0.4441,=36.4731,=31.2957,=21.8749
2018-01-25,=3548.3070,=42490069022435.7891,=30418550294448,=12966270468768.5488,=29.8057,=0.4437,=36.4772,=31.3020,=21.8749
2018-01-24,=3559.4653,=42656396231361.2109,=30513016989172,=13017878727898.9023,=29.8547,=0.4454,=36.4816,=31.3129,=21.8749
2018-01-23,=3546.5048,=42553436693065.8828,=30416764129639,=12979109674237.1465,=29.7264,=0.4412,=36.4868,=31.3465,=21.8749
2018-01-22,=3501.3622,=41823069370608.2266,=29990902434758,=12860978132176.6992,=29.5948,=0.4363,=36.4871,=31.3488,=21.8749
2018-01-19,=3487.8640,=41687319803737.8906,=29812458562132,=12774639488211.1934,=29.4673,=0.4322,=36.5192,=31.3547,=21.8749
2018-01-18,=3474.7540,=41504090486743.4063,=29666357115655,=12744623544599.9063,=29.4850,=0.4330,=36.5266,=31.3581,=21.8749
2018-01-17,=3444.6713,=40992866485603.5781,=29376056942955,=12665817653766.5625,=29.3639,=0.4293,=36.5283,=31.3600,=21.8749
2018-01-16,=3436.5940,=40856185649840.2422,=29321742371511,=12670598424484.9316,=29.3324,=0.4277,=36.5355,=31.3676,=21.8749
2018-01-15,=3410.4882,=40529410186925.5703,=29137422579363,=12571174126502.1582,=28.9931,=0.4203,=36.5392,=31.3742,=21.8749
2018-01-12,=3428.9407,=40611593985779.7266,=29224649124218,=12664073451128.9043,=29.6182,=0.4355,=36.5515,=31.4119,=21.8749
2018-01-11,=3425.3449,=40542790665281.1719,=29163505346189,=12642861768508.8789,=29.6702,=0.4371,=36.5685,=31.4222,=21.8749
2018-01-10,=3421.8343,=40471380984835.1953,=29141997900147,=12639292448528.0254,=29.5961,=0.4343,=36.5712,=31.4343,=21.8749
2018-01-09,=3413.8996,=40317699018206.6875,=29036540552640,=12629706622987.2773,=29.8351,=0.4396,=36.6233,=31.4348,=21.8749
2018-01-08,=3409.4795,=40274733620609.5156,=28992593137165,=12591122665100.1992,=29.8480,=0.4404,=36.6292,=31.4653,=21.8749
2018-01-05,=3391.7501,=40107163981071.8203,=28822916644645,=12528854914197.4102,=29.6541,=0.4359,=36.6695,=31.4719,=21.8749
2018-01-04,=3385.7102,=40027251341927.4219,=28762361048390,=12507397753265.9805,=29.5946,=0.4339,=36.6757,=31.4747,=21.8749
2018-01-03,=3369.1084,=39884726643974.5000,=28591341376861,=12460534868169.1816,=29.4997,=0.4318,=36.6983,=31.5059,=21.8749
2018-01-02,=3348.3259,=39666459528591.8203,=28403127694326,=12381675819793.1230,=29.2894,=0.4260,=36.7092,=31.5095,=21.8749
2017-12-29,=3307.1721,=38318336711941.5938,=27879537590161,=12086299492267.1953,=28.4061,=0.4065,=36.7092,=31.5123,=21.8749
2017-12-28,=3296.3847,=38142187808263.3828,=27753557040437,=12034143962081.5586,=28.2083,=0.4020,=36.7338,=31.5202,=21.8749
2017-12-27,=3275.7828,=37882798377469.5703,=27565918786828,=11964918173125.6270,=28.0500,=0.3979,=36.7909,=31.5274,=21.8749
2017-12-26,=3306.1246,=38253459197294.8359,=27846114977787,=12117407965418.1406,=28.1950,=0.4012,=36.7957,=31.5299,=21.8749
2017-12-25,=3280.4610,=37928232538577.5234,=27654836579732,=12046778174831.9902,=27.9361,=0.3958,=36.8020,=31.5347,=21.8749
2017-12-22,=3297.0630,=38107598702434.3281,=27792902885320,=12136300439466.3945,=28.2363,=0.4016,=36.8241,=31.5455,=21.8749
2017-12-21,=3300.0593,=38132534090348.4063,=27823075649404,=12163404737292.8496,=28.2459,=0.4016,=36.8290,=31.5526,=21.8749
2017-12-20,=3287.6057,=38001211973475.1875,=27711807287790,=12102380187701.9531,=28.1844,=0.3999,=36.8638,=31.5538,=21.8749
2017-12-19,=3296.5384,=38065383190331.5234,=27751075345714,=12136409200935.5566,=28.4679,=0.4036,=36.8913,=31.5566,=21.8749
2017-12-18,=3267.9224,=37675737134612.5000,=27494083646666,=12011239925456.8535,=28.2848,=0.4012,=36.9223,=31.5799,=21.8749
2017-12-15,=3266.1371,=37613608527224.5938,=27452871994833,=12015679705187.6719,=28.3319,=0.4020,=36.9350,=31.6053,=21.8749
2017-12-14,=3292.4385,=37902881406266.3281,=27678668910270,=12119355022404.7207,=28.5002,=0.4036,=36.9426,=31.6167,=21.8749
2017-12-13,=3303.0373,=38049911440807.2188,=27792499828739,=12160070422481.3184,=28.4943,=0.4028,=36.9491,=31.6276,=21.8749
2017-12-12,=3280.8136,=37782418370019.9219,=27605161365522,=12072465192129.9277,=28.3076,=0.4012,=36.9671,=31.6318,=21.8749
2017-12-11,=3322.1956,=38234026904917.2188,=27946644876512,=12228878898636.2188,=28.6245,=0.4044,=36.9902,=31.6325,=21.8749
2017-12-08,=3289.9924,=37882202354370.9063,=27656743718685,=12083589389970.1387,=28.3922,=0.4020,=37.0135,=31.6402,=21.8749
2017-12-07,=3272.0542,=37714131056013.5234,=27535574303202,=11997867292803.6719,=28.1166,=0.3987,=37.0298,=31.6514,=21.8749
2017-12-06,=3293.9648,=37978729150829.0781,=27715347600951,=12078877301488.2188,=28.2264,=0.4003,=37.0307,=31.6565,=21.8749
2017-12-05,=3303.6751,=38131666799719.1094,=27821251367283,=12120486782319.7539,=28.0785,=0.3979,=37.0469,=31.6623,=21.8749
2017-12-04,=3309.6183,=38073130141563.0938,=27785579799611,=12147803431823.9004,=28.6608,=0.4036,=37.0569,=31.6686,=21.8749
2017-12-01,=3317.6174,=38080422501206.7266,=27760379006352,=12150801186804.2188,=28.9323,=0.4102,=37.0946,=31.6722,=21.8749
2017-11-30,=3317.1884,=38131132512800.3203,=27765041403717,=12147835414021.2520,=29.2791,=0.4168,=37.1240,=31.6775,=21.8749
2017-11-29,=3337.8620,=38359165654228.5469,=27941687356590,=12243089504901.4883,=29.4201,=0.4201,=37.1446,=31.6879,=21.8749
2017-11-28,=3333.6570,=38291912310258.2266,=27896504793403,=12223110919447.3496,=29.2852,=0.4168,=37.1734,=31.7041,=21.8749
2017-11-27,=3322.2298,=38236405353399.7109,=27851454661346,=12167512412133.4434,=28.9322,=0.4098,=37.1902,=31.7140,=21.8749
2017-11-24,=3353.8207,=38580853226332.5234,=28071635578391,=12268101491697.7871,=29.1752,=0.4131,=37.1980,=31.7232,=21.8749
2017-11-23,=3351.9182,=38557579491389.4922,=28050270749735,=12253618243838.0723,=29.0847,=0.4118,=37.2100,=31.7331,=21.8749
2017-11-22,=3430.4643,=39408221051614.3516,=28684478367239,=12561335902125.7520,=29.7280,=0.4250,=37.2343,=31.7497,=21.8749
2017-11-21,=3410.4977,=39096116430294.6172,=28470944272873,=12516380307536.8340,=29.6848,=0.4242,=37.2382,=31.7650,=21.8749
2017-11-20,=3392.3988,=38876175525653.4922,=28302900380770,=12410074758664.8574,=29.6468,=0.4233,=37.2440,=31.7700,=21.8749
2017-11-17,=3382.9075,=38733580884650.8828,=28193394245883,=12367964334745.1855,=29.5926,=0.4217,=37.2486,=31.7752,=21.8749
2017-11-16,=3399.2503,=38730761550323.2266,=28200660269416,=12423012287988.2344,=30.3705,=0.4423,=37.2590,=31.7767,=21.8749
2017-11-15,=3402.5245,=38713665301201.4922,=28129655183333,=12378817152316.2598,=30.4715,=0.4472,=37.2642,=31.7815,=21.8749
2017-11-14,=3429.5500,=39017788663117.5938,=28353798527138,=12474744302429.8223,=30.7312,=0.4579,=37.2988,=31.7906,=21.8749
2017-11-13,=3447.8358,=39200620173626.4531,=28484375758053,=12544064375557.4668,=30.9086,=0.4632,=37.3040,=31.7968,=21.8749
2017-11-10,=3432.6731,=39024816015842.8281,=28350266970371,=12499595385842.6387,=30.8133,=0.4603,=37.3069,=31.7997,=21.8749
2017-11-09,=3427.7946,=38991226363812.3984,=28310066662197,=12429522182572.7969,=30.8064,=0.4595,=37.3341,=31.8023,=21.8749
2017-11-08,=3415.4602,=38872134805775.9141,=28208553402304,=12363849383292.5039,=30.6522,=0.4525,=37.3489,=31.8041,=21.8749
2017-11-07,=3413.5748,=38867905457524.6797,=28208128303484,=12353870238844.5332,=30.5754,=0.4497,=37.3610,=31.8058,=21.8749
2017-11-06,=3388.1742,=38571692377057.3203,=27997779639146,=12265769699293.8613,=30.3727,=0.4423,=37.3634,=31.8097,=21.8749
2017-11-03,=3371.7441,=38455107795372.9063,=27870085088683,=12194720031836.8652,=30.1344,=0.4357,=37.4104,=31.8224,=21.8749
2017-11-02,=3383.3095,=38573941519466.1016,=27945267905878,=12226957694722.6660,=30.3983,=0.4427,=37.4486,=31.8337,=21.8749
2017-11-01,=3395.9125,=38703638730617,=28037396085079,=12278370235561.4043,=30.6587,=0.4513,=37.4789,=31.8379,=21.8749
2017-10-31,=3393.3417,=38705089334030.2266,=28031892388887,=12300741587106.3145,=30.6848,=0.4525,=37.4989,=31.8440,=21.8749
2017-10-30,=3390.3371,=38659418069696.1641,=28047079130825,=12163115253422.9473,=30.8029,=0.4562,=37.5102,=31.8533,=21.8749
2017-10-27,=3416.8124,=38857329958380.5234,=28191206631162,=12261941476275.2656,=32.0614,=0.5080,=37.5290,=31.8701,=21.8749
2017-10-26,=3407.5671,=38681984353719.7109,=28067705356278,=12153964801025.1953,=32.5763,=0.5401,=37.5334,=31.8701,=21.8749
2017-10-25,=3396.8975,=38601507310590.9375,=27982689015414,=12086576012470.1934,=32.5036,=0.5351,=37.5547,=31.8701,=21.8749
2017-10-24,=3388.2477,=38549073393454.7813,=27927071853091,=12036136398431.6641,=32.3285,=0.5212,=37.5802,=31.8701,=21.8749
2017-10-23,=3380.6990,=38431925387384.9063,=27841071011709,=12002229492621.7891,=32.4500,=0.5306,=37.5878,=31.8701,=21.8749
2017-10-20,=3378.6481,=38440289550075.3438,=27839901505198,=11985991525074.9063,=32.3629,=0.5232,=37.5974,=31.8701,=21.8749
2017-10-19,=3370.1721,=38402819845007.3125,=27802419623313,=11939215345113.2656,=31.9922,=0.5051,=37.6075,=31.8701,=21.8749
2017-10-18,=3381.7937,=38489512972257.8125,=27865401357593,=11990535525981.6875,=32.3672,=0.5228,=37.6802,=31.8701,=21.8749
2017-10-17,=3372.0407,=38312593546453.1094,=27740116394465,=11972969560021.3945,=32.5734,=0.5364,=37.6850,=31.8701,=21.8749
2017-10-16,=3378.4704,=38400532659642.8281,=27777143006636,=11986564357819.4453,=32.5741,=0.5368,=37.7939,=31.8701,=21.8749
2017-10-13,=3390.5233,=38461097783543.4219,=27809689941944,=12044812848689.9922,=33.0789,=0.5717,=37.8008,=31.8701,=21.8749
2017-10-12,=3386.1000,=38413991754148.7344,=27795902056429,=12024486423588.8594,=32.9572,=0.5610,=37.8229,=31.8701,=21.8749
2017-10-11,=3388.2838,=38428370760292.7266,=27792275493870,=12012557087738.4316,=33.0441,=0.5693,=37.8242,=31.8701,=21.8749
2017-10-10,=3382.9879,=38347344707473.0469,=27731674520625,=12004715103082.5332,=33.0901,=0.5725,=37.8316,=31.8701,=21.8749
2017-10-09,=3374.3781,=38259812489934.6875,=27678405389380,=11976438627969.8984,=32.9011,=0.5565,=37.8371,=31.8701,=21.8749
2017-09-29,=3348.9431,=37982717855677.5938,=27440384742079,=11862558972715.5586,=32.5653,=0.5351,=37.8623,=31.8701,=21.8749
2017-09-28,=3339.6421,=37888731173763.3125,=27371768496886,=11804828556108.1309,=32.3677,=0.5228,=37.8906,=31.8701,=21.8749
2017-09-27,=3345.2717,=37941647913552.0391,=27412785728370,=11821599427967.3828,=32.5211,=0.5331,=37.9145,=31.8701,=21.8749
2017-09-26,=3343.5826,=37969372480286.1953,=27405994081781,=11807816055525.2754,=32.3518,=0.5220,=37.9173,=31.8701,=21.8749
2017-09-25,=3341.5487,=37949932018737.0234,=27350543840341,=11792224617011.5137,=32.3806,=0.5236,=37.9346,=31.8701,=21.8749
2017-09-22,=3352.5294,=38009130882025.1250,=27388268832379,=11863151163940.3145,=32.7689,=0.5458,=37.9367,=31.8701,=21.8749
2017-09-21,=3357.8123,=38042419586509.6172,=27412164332022,=11890691520125.5508,=32.8980,=0.5532,=37.9898,=31.8701,=21.8749
2017-09-20,=3365.9959,=38055249132422.3047,=27446484169848,=11939942072151.5566,=33.0891,=0.5688,=38.0257,=31.8701,=21.8749
2017-09-19,=3356.8446,=37974434603109.6094,=27390013408295,=11909113207493.3438,=32.9212,=0.5557,=38.0969,=31.8701,=21.8749
2017-09-18,=3362.8587,=38023754980483.6875,=27434209389789,=11935163719805.4531,=32.9570,=0.5569,=38.1038,=31.8701,=21.8749
2017-09-15,=3353.6192,=37947127227210.5000,=27359978168655,=11893402272369.4707,=32.8207,=0.5467,=38.1611,=31.8701,=21.8749
2017-09-14,=3371.4256,=38144611199313.6328,=27517289791715,=11938513189574.2656,=32.9762,=0.5594,=38.1626,=31.8701,=21.8749
2017-09-13,=3384.1470,=38330851618084.1406,=27630935102459,=11979748880845.5293,=33.0175,=0.5623,=38.1660,=31.8701,=21.8749
2017-09-12,=3379.4880,=38309484286621.0313,=27606476952336,=11959110411455.8379,=32.8859,=0.5520,=38.1920,=31.8701,=21.8749
2017-09-11,=3376.4188,=38248370404655.5156,=27530293653258,=11927416939763.9785,=32.9297,=0.5549,=38.2218,=31.8701,=21.8749
2017-09-08,=3365.2426,=38161904150949.2031,=27460216564930,=11893835128588.3867,=32.6799,=0.5397,=38.2311,=31.8701,=21.8749
2017-09-07,=3365.4974,=38162444620523.2266,=27452161059297,=11887238193221.9980,=32.6446,=0.5364,=38.2354,=31.8701,=21.8749
2017-09-06,=3385.3888,=38393168307851.0156,=27634433496733,=11962073923220.3496,=32.7623,=0.5446,=38.2363,=31.8701,=21.8749
2017-09-05,=3384.3170,=38408425630684.7969,=27613005284441,=11964065962411.8730,=32.7390,=0.5442,=38.2704,=31.8701,=21.8749
2017-09-04,=3379.5830,=38290012585318.3359,=27549902026220,=11944466411224.5176,=32.7386,=0.5438,=38.2912,=31.8701,=21.8749
2017-09-01,=3367.1194,=38120537868666.6797,=27428062930277,=11911712936025.1387,=32.7043,=0.5417,=38.3109,=31.8701,=21.8749
2017-08-31,=3360.8103,=38170452759732.9844,=27425696188405,=11872884405682.6094,=32.5834,=0.5347,=38.3409,=31.8701,=21.8749
2017-08-30,=3363.6266,=38243845613731.8906,=27502280601429,=11832400571722.1953,=32.5484,=0.5331,=38.3854,=31.8701,=21.8749
2017-08-29,=3365.2261,=38301792719433.4375,=27517584420546,=11818207268318.0078,=32.4642,=0.5286,=38.3929,=31.8701,=21.8749
2017-08-28,=3362.6514,=38249510072969.7266,=27497868443443,=11814928643679.1211,=32.6833,=0.5380,=38.4147,=31.8701,=21.8749
2017-08-25,=3331.5221,=37935543401023.3906,=27289420930263,=11686506802573.2285,=32.4886,=0.5302,=38.4266,=31.8701,=21.8749
2017-08-24,=3271.5117,=37211359905204.2109,=26785784041174,=11495580825435.2617,=32.1505,=0.5121,=38.4584,=31.8701,=21.8749
2017-08-23,=3287.7049,=37369695456279.8125,=26901816746052,=11560945723691.1777,=32.3866,=0.5232,=38.4880,=31.8701,=21.8749
2017-08-22,=3290.2257,=37347120676566.0078,=26911087814552,=11584903345494.1387,=32.6583,=0.5347,=38.4901,=31.8701,=21.8749
2017-08-21,=3286.9055,=37267491026181.8125,=26867379075395,=11561454312418.8984,=32.8086,=0.5405,=38.4909,=31.8701,=21.8749
2017-08-18,=3268.7243,=37090186257404.3203,=26729129652968,=11502521319203.3809,=32.6950,=0.5376,=38.4950,=31.8701,=21.8749
2017-08-17,=3268.4298,=37075694182090.5234,=26703003513981,=11486000276830.4414,=32.9587,=0.5491,=38.5208,=31.8701,=21.8749
2017-08-16,=3246.4512,=36840483122164.3438,=26524668595118,=11404984081696.5840,=32.7182,=0.5384,=38.5647,=31.8701,=21.8749
2017-08-15,=3251.2617,=36909609535206.8047,=26578771195267,=11422849814905.3477,=32.7165,=0.5380,=38.5850,=31.8701,=21.8749
2017-08-14,=3237.3602,=36701393269626.4219,=26443470916342,=11381080344025.6660,=32.6348,=0.5331,=38.6098,=31.8701,=21.8749
2017-08-11,=3208.5413,=36414092390931.4063,=26231849097537,=11243944548876.7363,=32.1920,=0.5150,=38.6267,=31.8701,=21.8749
2017-08-10,=3261.7494,=36996187145478.3281,=26663746347225,=11459752306596.3555,=32.8423,=0.5413,=38.6567,=31.8701,=21.8749
2017-08-09,=3275.5730,=37155202120082.9922,=26772264981793,=11521982005098.8125,=33.0854,=0.5561,=38.6675,=31.8701,=21.8749
2017-08-08,=3281.8728,=37301836977916.2813,=26829615917146,=11522706528425.9648,=33.0396,=0.5532,=38.6759,=31.8701,=21.8749
2017-08-07,=3279.4566,=37258277424698.9063,=26786954300840,=11516496525431.3281,=33.1205,=0.5577,=38.6799,=31.8701,=21.8749
2017-08-04,=3262.0809,=37085660149737.3203,=26649358743039,=11442135532870.8340,=32.8754,=0.5425,=38.6825,=31.8701,=21.8749
2017-08-03,=3272.9286,=37205009409755.5938,=26721803744275,=11484685792489.7871,=33.0429,=0.5528,=38.7316,=31.8701,=21.8749
2017-08-02,=3285.0568,=37364942200942.8750,=26836413552656,=11533215554141.0156,=33.0167,=0.5516,=38.7368,=31.8701,=21.8749
2017-08-01,=3292.6383,=37405606874099.6172,=26844303076709,=11571168298759.2031,=33.2682,=0.5639,=38.7527,=31.8701,=21.8749
2017-07-31,=3273.0283,=37135286945981.8203,=26662448966450,=11493803613258.0664,=33.2726,=0.5639,=38.8279,=31.8701,=21.8749
2017-07-28,=3253.2404,=36940769678984.6797,=26500825151710,=11406493308038.1953,=33.0443,=0.5524,=38.8985,=31.8701,=21.8749
2017-07-27,=3249.7814,=36884837789842.9219,=26459309940025,=11387428640050.7090,=33.0848,=0.5536,=38.9611,=31.8701,=21.8749
2017-07-26,=3247.6748,=36890228661164,=26475562752185,=11365934728502.6973,=32.9031,=0.5442,=38.9664,=31.8701,=21.8749
2017-07-25,=3243.6894,=36809858046674.4063,=26427321177667,=11374913003251.1309,=32.9617,=0.5467,=39.0497,=31.8701,=21.8749
2017-07-24,=3250.5989,=36827154552983.6875,=26467266419442,=11423855378928.9746,=33.1094,=0.5536,=39.0671,=31.8701,=21.8749
2017-07-21,=3237.9817,=36661519165235.1094,=26363037802066,=11357216282984.7676,=32.8793,=0.5425,=39.0929,=31.8701,=21.8749
2017-07-20,=3244.8647,=36758956653946.2344,=26403513961012,=11388954443865.4961,=32.8608,=0.5417,=39.0975,=31.8701,=21.8749
2017-07-19,=3230.9762,=36607452807033.0234,=26280074009470,=11338183356995.6348,=32.6871,=0.5360,=39.1156,=31.8701,=21.8749
2017-07-18,=3187.5672,=36144141987282.8125,=25941515348734,=11145074838334.7305,=32.1053,=0.5097,=39.1236,=31.8701,=21.8749
2017-07-17,=3176.4648,=36071643778496.5078,=25864245233529,=11097662519874.4668,=31.8063,=0.4973,=39.1243,=31.8701,=21.8749
2017-07-14,=3222.4168,=36431204273465.2188,=26088728077317,=11317703095540.5566,=33.1321,=0.5528,=39.1644,=31.8854,=21.8749
2017-07-13,=3218.1632,=36371282359035.0703,=26029519130071,=11287263396532.7773,=33.1872,=0.5545,=39.1793,=31.8854,=21.8749
2017-07-12,=3197.5439,=36115618155792.3281,=25840840882226,=11199365575366.3711,=33.0864,=0.5508,=39.1882,=31.8854,=21.8749
2017-07-11,=3203.0375,=36159882073598.3984,=25887342510905,=11220661584332.7793,=33.1196,=0.5516,=39.1891,=31.8854,=21.8749
2017-07-10,=3212.6319,=36217302631572.7109,=25931117200438,=11240857903335.6016,=33.3942,=0.5635,=39.2507,=31.8854,=21.8749
2017-07-07,=3217.9567,=36219954556190.1094,=25880605781326,=11238398647037.2539,=33.5234,=0.5672,=39.2546,=31.8854,=21.8749
2017-07-06,=3212.4440,=36176274590868.8984,=25860171385519,=11223992436976.8926,=33.3566,=0.5614,=39.2799,=31.8854,=21.8749
2017-07-05,=3207.1342,=36108225902531.8984,=25801562577900,=11207087071982.0098,=33.3060,=0.5602,=39.3104,=31.8854,=21.8749
2017-07-04,=3182.8039,=35829305853633.4063,=25602460345739,=11094915519763.8105,=33.0311,=0.5491,=39.3196,=31.8854,=21.8749
2017-07-03,=3195.9116,=35970933269603.2109,=25705062401370,=11165769653829.3398,=33.1987,=0.5545,=39.3445,=31.8854,=21.8749
2017-06-30,=3192.4269,=34892763483118.0156,=25483928612861,=10980913016045.5977,=31.9297,=0.5027,=39.3488,=31.8854,=21.8749
2017-06-29,=3188.0625,=34921476523497.3008,=25468766918302,=10958127821173.7383,=31.8912,=0.5010,=39.3680,=31.8854,=21.8749
2017-06-28,=3173.2014,=34744502902199.9375,=25343821735245,=10899198322601.7969,=31.7345,=0.4924,=39.4102,=31.8854,=21.8749
2017-06-27,=3191.1969,=34913906552465.1836,=25462882429580,=10960226630047.1621,=31.8815,=0.4994,=39.4144,=31.8896,=21.8749
2017-06-26,=3185.4439,=34847413879544.4844,=25418582282315,=10925471095083.3535,=31.8053,=0.4965,=39.4218,=31.8922,=21.8749
2017-06-23,=3157.8730,=34584084757782.8164,=25214135198636,=10806601694786.6270,=31.3465,=0.4751,=39.4612,=31.8976,=21.8749
2017-06-22,=3147.4532,=34450124334030.7813,=25107493759039,=10767576977567.7676,=31.3020,=0.4743,=39.5130,=31.9148,=21.8749
2017-06-21,=3156.2118,=34469366549022.5000,=25139416757052,=10804695559407.9941,=31.6327,=0.4866,=39.5131,=31.9294,=21.8749
2017-06-20,=3140.0136,=34284914851588.7109,=24992151201396,=10733044837655.6875,=31.5294,=0.4817,=39.5223,=31.9329,=21.8749
2017-06-19,=3144.3739,=34319226459349.2109,=25012885369835,=10754778558880.5547,=31.5519,=0.4825,=39.5246,=31.9469,=21.8749
2017-06-16,=3123.1662,=34079842634069.9883,=24843707012208,=10652906106574.8613,=31.2782,=0.4723,=39.5375,=31.9584,=21.8749
2017-06-15,=3132.4863,=34173950952019.8281,=24911163041096,=10673100362680.5254,=31.3742,=0.4764,=39.5392,=31.9836,=21.8749
2017-06-14,=3130.6740,=34224201807499.1953,=24950192482734,=10662699329433.5039,=31.1584,=0.4644,=39.5394,=32.0170,=21.8749
2017-06-13,=3153.7429,=34482068902851.6016,=25144027544227,=10754153823433.1328,=31.2906,=0.4723,=39.5593,=32.0328,=21.8749
2017-06-12,=3139.8766,=34366078730434.1094,=25065670553592,=10706048130776.7344,=30.9792,=0.4616,=39.5722,=32.0399,=21.8749
2017-06-09,=3158.4004,=34508020266900.6211,=25161255299451,=10760589476268.3867,=31.2957,=0.4723,=39.5895,=32.0421,=21.8749
2017-06-08,=3150.3336,=34401726570479.9180,=25085672417552,=10720523385092.3262,=31.2070,=0.4665,=39.6022,=32.0458,=21.8749
2017-06-07,=3140.3249,=34272974139990.2852,=24979051668154,=10666918059472.6367,=31.1734,=0.4649,=39.6290,=32.0566,=21.8749
2017-06-06,=3102.1260,=33908919008874.3008,=24684383589344,=10530187517601.8613,=30.6221,=0.4488,=39.6554,=32.0774,=21.8749
2017-06-05,=3091.6561,=33781585464641.9219,=24587986702807,=10475721568954.1973,=30.4815,=0.4460,=39.6802,=32.0917,=21.8749
2017-06-02,=3105.5400,=33999480982000.1914,=24736531249613,=10494353782598.2051,=30.3535,=0.4410,=39.6881,=32.0972,=21.8749
2017-06-01,=3102.6232,=34027113504561.5781,=24760190450950,=10489828197791.8340,=30.0962,=0.4336,=39.7151,=32.1013,=21.8749
2017-05-31,=3117.1778,=34091374045544.9883,=24795873094102,=10551836526403.6934,=30.6498,=0.4488,=39.7233,=32.1040,=21.8749
2017-05-26,=3110.0600,=34009853322074.1289,=24725293990874,=10545664638963.5938,=30.6172,=0.4468,=39.7464,=32.1183,=21.8749
2017-05-25,=3107.8311,=33970133087076.6016,=24706849308324,=10553279236508.3652,=30.6281,=0.4472,=39.7820,=32.1228,=21.8749
2017-05-24,=3064.0759,=33455628894337.1016,=24334660383846,=10373407258185.7344,=30.2422,=0.4374,=39.8275,=32.1273,=21.8749
2017-05-23,=3061.9470,=33453940801721.2891,=24332887576338,=10363834542234.2773,=30.1660,=0.4353,=39.8424,=32.1453,=21.8749
2017-05-22,=3075.6756,=33488869780330.2891,=24332823882550,=10422239941468.0801,=30.7532,=0.4513,=39.8672,=32.1619,=21.8749
2017-05-19,=3090.6309,=33547431076049.5195,=24373325076715,=10475737210440.9180,=31.2174,=0.4616,=39.8857,=32.1664,=21.8749
2017-05-18,=3090.1390,=33525555589065.4219,=24346627048080,=10462487479394.6543,=31.2700,=0.4653,=39.9062,=32.1729,=21.8749
2017-05-17,=3104.4415,=33652745410760.5000,=24435000243664,=10515986698212.0469,=31.4747,=0.4710,=39.9149,=32.1771,=21.8749
2017-05-16,=3112.9642,=33775277066889.1914,=24519992310489,=10537646363776.3203,=31.4348,=0.4698,=39.9877,=32.1827,=21.8749
2017-05-15,=3090.2289,=33595343138919.6094,=24375011587386,=10434638906937.8008,=30.9838,=0.4571,=40.0148,=32.1885,=21.8749
2017-05-12,=3083.5132,=33523922388813.3047,=24303376331948,=10404000857997.9336,=30.9090,=0.4546,=40.0200,=32.1923,=21.8749
2017-05-11,=3061.5003,=33232277191039.1758,=24116007118989,=10331514932100.8066,=30.8195,=0.4522,=40.0788,=32.1955,=21.8749
2017-05-10,=3052.7850,=33127845512639.8906,=24025938609123,=10326339516890.3711,=30.9013,=0.4538,=40.0852,=32.2002,=21.8749
2017-05-09,=3080.5269,=33361860284133.6016,=24217601026074,=10429997873498.1660,=31.4343,=0.4678,=40.0913,=32.2034,=21.8749
2017-05-08,=3078.6129,=33371192378206.6016,=24235063402459,=10433713268007.1680,=31.3129,=0.4645,=40.0923,=32.2205,=21.8749
2017-05-05,=3103.0378,=33566293092659.3008,=24383379845360,=10528861494673.8535,=31.7779,=0.4803,=40.0923,=32.2374,=21.8749
2017-05-04,=3127.3687,=33760024209686.9883,=24539945380820,=10619192435955.8691,=32.1621,=0.4957,=40.0923,=32.2426,=21.8749
2017-05-03,=3135.3460,=33823028973293.6055,=24590051827751,=10657236768615.3730,=32.2864,=0.5016,=40.1205,=32.2477,=21.8639
2017-05-02,=3143.7121,=33934013258258.0039,=24685343341176,=10686459111679.3828,=32.3705,=0.5043,=40.1205,=32.2426,=21.8639
2017-04-28,=3154.6600,=34075304755599.2813,=24783395181011,=10677768756959.2109,=33.1875,=0.5364,=40.1242,=32.2426,=21.8639
2017-04-27,=3152.1869,=34036618235738.1094,=24763860999949,=10613670994800.4766,=33.8727,=0.5631,=40.1534,=32.2426,=21.8639
2017-04-26,=3140.8471,=33949873056864.8086,=24696753368841,=10586302235320.3691,=33.9906,=0.5664,=40.1772,=32.2426,=21.8639
2017-04-25,=3134.5674,=33876627906933.3008,=24658114549333,=10574903133704.6914,=34.0285,=0.5689,=40.1775,=32.2426,=21.8639
2017-04-24,=3129.5312,=33824949196035.6016,=24631346195649,=10542099593473.9063,=34.4149,=0.5903,=40.1778,=32.2426,=21.8639
2017-04-21,=3173.1512,=34240542622529.7109,=24941597981374,=10702109659768.8945,=35.3816,=0.6549,=40.1901,=32.2426,=21.8639
2017-04-20,=3172.1003,=34141628494303.8867,=24904538816525,=10696910973451.8398,=35.5297,=0.6656,=40.1930,=32.2426,=21.8639
2017-04-19,=3170.6867,=34117113769967.1016,=24871463618000,=10682598957443.7852,=35.4817,=0.6619,=40.2254,=32.2426,=21.8639
