日期,收盘点位,市值(元),流通市值(元),自由流通市值(元),PE-TTM正数等权,PE-TTM 分位点,PE-TTM 80%分位点值,PE-TTM 50%分位点值,PE-TTM 20%分位点值
2006-06-08,=1591.4900,=3212399027527.3984,=960797896206,=897885877032.6582,=29.4141,=0.1695,=53.9764,=42.2112,=32.7928
2006-06-07,=1589.5500,=3209734844635.9971,=957838877738,=895576497982.8853,=29.3425,=0.1678,=53.9764,=42.2112,=32.7928
2006-06-06,=1679.1300,=3392157816858.3037,=1018999152733,=952699954983.9760,=31.4887,=0.1844,=53.9764,=42.2112,=32.7928
2006-06-05,=1684.6200,=3409281211807.4028,=1024418037118,=959422563963.6260,=31.7131,=0.1869,=53.9764,=42.2112,=32.7928
2006-06-02,=1669.4000,=3376760429995.0049,=1012046491801,=948770798852.2156,=31.1463,=0.1819,=53.9764,=42.2103,=32.7558
2006-06-01,=1684.1900,=3409049792917.5991,=1015816574279,=951939011027.8528,=31.1135,=0.1815,=53.9764,=42.2112,=32.7928
2006-05-31,=1641.3000,=3324035303996.9995,=984616333975,=923292077627.8724,=30.0876,=0.1732,=53.9764,=42.2112,=32.7928
2006-05-30,=1657.2900,=3359428341260.2026,=991574908280,=930677517309.6304,=30.4177,=0.1761,=53.9764,=42.2112,=32.7928
2006-05-29,=1648.5400,=3344443618899.1001,=980430799317,=921080070259.8824,=30.0886,=0.1741,=53.9764,=42.2112,=32.7928
2006-05-26,=1613.8900,=3278001678528.8989,=956448690671,=898940911613.5642,=29.2802,=0.1694,=53.9764,=42.2103,=32.7558
2006-05-25,=1591.4300,=3236067964300.9019,=940263972557,=883583454039.6786,=28.7367,=0.1625,=53.9764,=42.2112,=32.7928
2006-05-24,=1590.9200,=3242541799107.5972,=936790605138,=882193984355.1462,=28.3882,=0.1546,=53.9764,=42.2112,=32.7928
2006-05-23,=1604.5500,=3270093446562.4023,=946435000986,=891660441974.0020,=29.0352,=0.1687,=53.9764,=42.2112,=32.7928
2006-05-22,=1657.6900,=3373270107732.1011,=985961156233,=928695526804.3284,=30.5850,=0.1774,=53.9764,=42.2112,=32.7928
2006-05-19,=1659.5500,=3386206048195.2012,=978991908642,=923968130068.6016,=30.1513,=0.1748,=53.9764,=42.2103,=32.7558
2006-05-18,=1617.2800,=3309230297178.1963,=952677241247,=903698586924.7432,=29.4134,=0.1716,=53.9764,=42.2112,=32.7928
2006-05-17,=1625.1500,=3325541868321.5000,=952550468202,=904381583710.9500,=29.3325,=0.1703,=53.9764,=42.2112,=32.7928
2006-05-16,=1613.2500,=3305895949825.3013,=945449831710,=900267046565.0243,=29.0116,=0.1683,=53.9764,=42.2112,=32.7928
2006-05-15,=1664.0900,=3411572526673.1001,=968272824973,=923037228477.0966,=29.9887,=0.1736,=53.9764,=42.2112,=32.7928
2006-05-12,=1602.8300,=3285350069988.7051,=928473380048,=885599724179.3623,=28.7217,=0.1624,=53.9764,=42.2103,=32.7558
2006-05-11,=1537.3800,=3152524777949.0010,=894735817992,=856262645942.5797,=27.8544,=0.1438,=53.9764,=42.2112,=32.7928
2006-05-10,=1545.6900,=3170857488863.0005,=898160600984,=859953051429.6804,=28.1219,=0.1496,=53.9764,=42.2112,=32.7928
2006-05-09,=1531.1600,=3143917523450.0986,=886317517402,=849050038728.2791,=27.7279,=0.1413,=53.9764,=42.2112,=32.7928
2006-05-08,=1497.1000,=3074557956539.7998,=862452591367,=827155394644.8982,=26.9471,=0.1285,=53.9764,=42.2112,=32.7928
2006-04-28,=1440.2200,=2954974487078.8979,=831603055620,=793794486259.4308,=26.0801,=0.1170,=53.9741,=42.2003,=32.7308
2006-04-27,=1416.7300,=2908362036714.4995,=818512537601,=778031789551.7855,=25.7979,=0.1134,=53.9764,=42.2021,=32.7308
2006-04-26,=1417.4800,=2909465177184.5020,=818466269031,=764611059804.0709,=25.7914,=0.1129,=53.9764,=42.2021,=32.7308
2006-04-25,=1399.7700,=2877378589871.7012,=808165458403,=751754088278.1550,=25.5681,=0.1084,=53.9764,=42.2021,=32.7308
2006-04-24,=1409.7900,=2899073215397.3965,=809197250471,=745753211071.5814,=25.4598,=0.1072,=53.9764,=42.2021,=32.7308
2006-04-21,=1416.7900,=2918312420585.2012,=812173036979,=744331376249.8112,=25.6739,=0.1104,=53.9741,=42.2003,=32.7308
2006-04-20,=1385.9000,=2852108553531.8989,=801360033826,=734215093782.3773,=25.4440,=0.1067,=53.9764,=42.2021,=32.7308
2006-04-19,=1396.7000,=2877284317042.4019,=805782874390,=736769395140.2421,=25.5234,=0.1067,=53.9764,=42.2021,=32.7308
2006-04-18,=1385.1100,=2863630358766.5005,=801459776485,=734319242549.9611,=25.5838,=0.1080,=53.9764,=42.2021,=32.7308
2006-04-17,=1378.6100,=2851581125595.0996,=797340836269,=727675397582.2531,=25.5457,=0.1076,=53.9764,=42.2021,=32.7308
2006-04-14,=1359.5400,=2813777196930.4980,=791362292503,=722554189565.8706,=25.2170,=0.1038,=53.9741,=42.2003,=32.7308
2006-04-13,=1332.3300,=2761008888299.1016,=775285948096,=708982818086.2036,=24.6586,=0.0985,=53.9764,=42.2021,=32.7308
2006-04-12,=1360.1300,=2818729656077.5010,=794526361825,=726343349334.5353,=25.3590,=0.1072,=53.9764,=42.2021,=32.7308
2006-04-11,=1362.2300,=2824963275949.4004,=795610960719,=728117988691.9797,=25.3184,=0.1067,=53.9764,=42.2021,=32.7308
2006-04-10,=1359.0800,=2819836656220.9990,=792913100817,=726208526047.2869,=25.2403,=0.1047,=53.9764,=42.2021,=32.7308
2006-04-07,=1342.9600,=2788397935137.8999,=780555841809,=714916580563.1373,=24.6980,=0.1005,=53.9741,=42.2003,=32.7308
2006-04-06,=1339.7400,=2782341219666.2998,=776569666610,=711634486641.0076,=24.5247,=0.0985,=53.9764,=42.2021,=32.7308
2006-04-05,=1340.1600,=2783523419606.8018,=775689456954,=711540303769.2117,=24.4433,=0.0981,=53.9764,=42.2021,=32.7308
2006-04-04,=1329.8000,=2766489548100.1011,=770751666415,=705720875915.6323,=24.3156,=0.0956,=53.9764,=42.2021,=32.7308
2006-04-03,=1319.4700,=2746298929280.4009,=762126503764,=698501022178.1566,=24.0107,=0.0943,=53.9764,=42.2021,=32.7308
2006-03-31,=1298.3000,=2712136568604.4980,=748865591122,=687817648042.3253,=23.6228,=0.0906,=53.9741,=42.2003,=32.7308
2006-03-30,=1294.7200,=2710811602935.7988,=743545728539,=681758408523.7642,=23.4203,=0.0869,=53.9764,=42.2021,=32.7308
2006-03-29,=1305.5700,=2733851961355.9004,=749228950233,=686619115887.4742,=23.6357,=0.0906,=53.9764,=42.2021,=32.7308
2006-03-28,=1298.7900,=2720393513567.2988,=743379051339,=685152215643.9952,=23.5576,=0.0906,=53.9764,=42.2021,=32.7308
2006-03-27,=1295.9200,=2719156199439.5010,=739550692168,=680655950238.8708,=23.3490,=0.0856,=53.9764,=42.2021,=32.7308
2006-03-24,=1294.7000,=2718485477233.2988,=734987121527,=676939424279.2612,=23.0789,=0.0806,=53.9741,=42.2003,=32.7308
2006-03-23,=1302.4600,=2734797979621.3970,=740184393592,=681505053867.5607,=23.2659,=0.0832,=53.9764,=42.2021,=32.7308
2006-03-22,=1296.7100,=2721418950550.8003,=737641958507,=678805558497.0107,=23.1261,=0.0807,=53.9764,=42.2021,=32.7308
2006-03-21,=1290.4000,=2709300466684.0962,=732681275967,=674396227139.1434,=22.8930,=0.0749,=53.9764,=42.2021,=32.7308
2006-03-20,=1288.4200,=2706501972301.0029,=730815538137,=673108162523.2266,=22.7163,=0.0687,=53.9764,=42.2021,=32.7308
2006-03-17,=1269.4600,=2666147095540.0015,=721626365879,=664191942446.1473,=22.3469,=0.0521,=53.9741,=42.2003,=32.7308
2006-03-16,=1274.1900,=2676369852148.4019,=723532747413,=666357971506.4255,=22.3532,=0.0521,=53.9764,=42.2021,=32.7308
2006-03-15,=1274.8100,=2677355214303.2002,=723211563762,=666318500637.4496,=22.2900,=0.0496,=53.9764,=42.2021,=32.7308
2006-03-14,=1259.0400,=2644140575748.1030,=715502118836,=660003012402.7448,=22.1236,=0.0434,=53.9764,=42.2021,=32.7308
2006-03-13,=1259.6700,=2645173309316.5010,=714964987635,=659511500168.7236,=22.1472,=0.0443,=53.9764,=42.2021,=32.7308
2006-03-10,=1245.6500,=2615059160323.8999,=709254451709,=653957891096.8660,=22,=0.0409,=53.9741,=42.2003,=32.7308
2006-03-09,=1245.1700,=2616937090976.3999,=706493586734,=651595234068.9415,=21.9284,=0.0389,=53.9764,=42.2021,=32.7308
2006-03-08,=1250.3800,=2628669910173.0986,=709430632157,=654969971728.5764,=21.9800,=0.0397,=53.9764,=42.2021,=32.7308
2006-03-07,=1259.9200,=2652813634520.1997,=712503218864,=658181354194.1071,=22.1469,=0.0426,=53.9764,=42.2021,=32.7308
2006-03-06,=1288.9500,=2715955990881.6978,=728723362772,=673262683056.3142,=22.5828,=0.0563,=53.9764,=42.2021,=32.7308
2006-03-03,=1293.3000,=2726630363359.6001,=730465512093,=674583869908.6570,=22.6596,=0.0612,=53.9741,=42.2003,=32.7308
2006-03-02,=1285.6700,=2712221319203.4009,=728945558814,=674073235489.7367,=22.6368,=0.0588,=53.9764,=42.2021,=32.7308
2006-03-01,=1306.5900,=2764907506924.1997,=743089089992,=687325115484.6553,=23.0765,=0.0745,=53.9764,=42.2039,=32.7417
2006-02-28,=1299.0300,=2750141086733.6011,=738316935661,=683412776659.6899,=22.8894,=0.0692,=53.9764,=42.2071,=32.7533
2006-02-27,=1297.1900,=2752256555141.9961,=735185575683,=676834594642.4370,=22.8371,=0.0667,=53.9764,=42.2103,=32.7558
2006-02-24,=1296.8700,=2749232313341.6011,=727698883336,=679956919342.2784,=22.9093,=0.0696,=53.9764,=42.2112,=32.7928
2006-02-23,=1288.8500,=2734643127561.6978,=722017227555,=674712815446.7675,=22.7147,=0.0634,=54.0004,=42.2121,=32.7928
2006-02-22,=1284.2300,=2724813454434.8989,=719531233748,=672476708464.8278,=22.7096,=0.0630,=54.0004,=42.2144,=32.7987
2006-02-21,=1288.4200,=2734739752882.8008,=720466509756,=673896977114.4779,=22.8520,=0.0660,=54.0004,=42.2168,=32.8345
2006-02-20,=1267.5400,=2690916874914.7002,=708712311308,=663011334800.0382,=22.4675,=0.0540,=54.0004,=42.2249,=32.8404
2006-02-17,=1267.4100,=2690625091831.3003,=709554297574,=663891898585.7594,=22.4516,=0.0532,=54.0004,=42.2331,=32.8477
2006-02-16,=1270.6300,=2702068649500.9023,=712132795886,=666666802100.8040,=22.6822,=0.0606,=54.0004,=42.2331,=32.8477
2006-02-15,=1299.1700,=2765655590022.0015,=727976396552,=682781189238.8768,=23.4359,=0.0777,=54.0004,=42.2331,=32.8477
2006-02-14,=1286.3300,=2734871190026.0005,=726343815940,=681683117056.2046,=23.4695,=0.0785,=54.0004,=42.2331,=32.8477
2006-02-13,=1279.6400,=2722161754492.3022,=721736208529,=678235573007.5649,=23.3282,=0.0760,=54.0004,=42.2331,=32.8477
2006-02-10,=1282.6600,=2730578890064.3022,=721758580986,=679228317479.8618,=23.3966,=0.0772,=54.0004,=42.2331,=32.8477
2006-02-09,=1269.4500,=2704620857984.8027,=713446440792,=672540415244.5289,=23.1748,=0.0743,=54.0004,=42.2331,=32.8477
2006-02-08,=1290.0600,=2748332719021.3003,=723021780629,=682445273168.8433,=23.4978,=0.0793,=54.0004,=42.2331,=32.8477
2006-02-07,=1282.1000,=2730175470905.3008,=719553404794,=679468700657.2668,=23.4023,=0.0781,=54.0004,=42.2331,=32.8477
2006-02-06,=1287.6300,=2743200742011.7026,=721127377106,=681058693137.2731,=23.4430,=0.0789,=54.0004,=42.2331,=32.8477
2006-01-25,=1258.0500,=2680387107458.3018,=706690710510,=667540654432.7621,=22.9303,=0.0737,=53.9764,=42.2071,=32.7533
2006-01-24,=1252.0600,=2670143455976.4990,=703342905793,=665078204274.8507,=22.9737,=0.0754,=53.9764,=42.2071,=32.7533
2006-01-23,=1255.7700,=2680802373201.7998,=703396300915,=666480839142.4386,=22.9677,=0.0749,=53.9764,=42.2071,=32.7533
2006-01-20,=1255.3100,=2682608310844.3022,=700729152352,=664510918314.2119,=22.8767,=0.0733,=53.9764,=42.2071,=32.7533
2006-01-19,=1251.5800,=2673686464921.8999,=698623959030,=662560652737.5916,=22.7891,=0.0716,=53.9764,=42.2071,=32.7533
2006-01-18,=1233.3500,=2635775262593.1016,=692111454750,=657225606591.6007,=22.6144,=0.0658,=53.9764,=42.2071,=32.7533
2006-01-17,=1208.4400,=2584702307139.8999,=678274114367,=644619107545.1173,=22.1786,=0.0518,=53.9764,=42.2071,=32.7533
2006-01-16,=1202.8700,=2572304796109.9995,=677562547699,=644041793096.9116,=22.2169,=0.0526,=53.9764,=42.2071,=32.7533
2006-01-13,=1221.4600,=2611301592641.2026,=689339178744,=655264255566.5403,=22.6007,=0.0658,=53.9764,=42.2071,=32.7533
2006-01-12,=1226.7000,=2624047999788.4014,=690113136051,=656540966462.0709,=22.5903,=0.0650,=53.9764,=42.2071,=32.7533
2006-01-11,=1211.0500,=2591885085995.0986,=681055109178,=648416597232.6583,=22.2459,=0.0538,=53.9764,=42.2071,=32.7533
2006-01-10,=1220.6200,=2615201490550.6001,=683585235176,=651127540039.3827,=22.3366,=0.0584,=53.9764,=42.2071,=32.7533
2006-01-09,=1215.6700,=2604182889075.4985,=681257590474,=649335331330.6013,=22.2324,=0.0530,=53.9764,=42.2071,=32.7533
2006-01-06,=1209.4200,=2591508641032.3955,=675953325622,=644471345382.0306,=21.9989,=0.0476,=53.9764,=42.2071,=32.7533
2006-01-05,=1197.2700,=2566344862222.5000,=668146071625,=637257959319.4910,=21.7667,=0.0410,=53.9764,=42.2071,=32.7533
2006-01-04,=1180.9600,=2533292057505.3008,=658129729828,=627956110700.7688,=21.4946,=0.0356,=53.9764,=42.2071,=32.7533
2005-12-30,=1161.0600,=2493410791882.3013,=648239054285,=616928598539.1436,=21.2409,=0.0286,=53.9764,=42.2039,=32.7417
