日期,收盘点位,全收益收盘点位(元),市值(元),流通市值(元),自由流通市值(元),PE-TTM正数等权,PE-TTM 分位点,PE-TTM 80%分位点值,PE-TTM 50%分位点值,PE-TTM 20%分位点值
2020-09-10,=3245.5000,=4715.2100,=20053890096177.8008,=15072286568114,=6522562902986.7500,=12.9987,=0.6819,=13.8908,=11.7947,=10.6857
2020-09-09,=3235.7000,=4700.9700,=20005524307441.1992,=15022827733396,=6502986908320.1689,=13.0126,=0.6831,=13.8933,=11.7947,=10.6857
2020-09-08,=3289.9100,=4779.7300,=20265514961096.1914,=15222532413704,=6607623538047.0303,=13.1761,=0.7012,=13.8948,=11.7947,=10.6857
2020-09-07,=3253.4300,=4726.7200,=20000505273786.9063,=15044930120388,=6535477100943.5137,=12.9914,=0.6786,=13.8978,=11.7947,=10.6857
2020-09-04,=3309.2100,=4807.7600,=20304859938775.1992,=15280101909086,=6642832273079.0049,=13.1085,=0.6947,=13.8980,=11.7947,=10.6857
2020-09-03,=3334.4100,=4844.3800,=20452622119245.6992,=15378303098339,=6693328068253.6924,=13.1760,=0.7000,=13.9028,=11.7947,=10.6857
2020-09-02,=3347.3000,=4863.1100,=20542705899893.3984,=15442876438015,=6720448458742.7695,=13.2143,=0.7021,=13.9056,=11.7947,=10.6857
2020-09-01,=3355.1000,=4874.4300,=20626189239866.6016,=15500342363459,=6735910149185.4053,=13.2908,=0.7082,=13.9070,=11.7947,=10.6857
2020-08-31,=3343.8900,=4858.1500,=20584972300152.1992,=15448783395460,=6714827953948.2744,=13.2721,=0.7066,=13.9084,=11.7947,=10.6857
2020-08-28,=3368.4400,=4893.8100,=20754507347031.8008,=15558867396024,=6753640720390.3691,=12.7492,=0.6514,=13.9113,=11.7947,=10.6857
2020-08-27,=3290.7900,=4781,=20377527487224.5000,=15271526601043,=6578919020561.6152,=13.0674,=0.6893,=13.9116,=11.7947,=10.6857
2020-08-26,=3277.8900,=4762.2600,=20326900872318.5039,=15234575903974,=6555242553414.7451,=13.0931,=0.6922,=13.9138,=11.7947,=10.6857
2020-08-25,=3310.8400,=4810.1300,=20525415030222.2969,=15366521157770,=6621487105977.6387,=13.1917,=0.6988,=13.9155,=11.7947,=10.6857
2020-08-24,=3298.7200,=4792.5200,=20494334234552.5000,=15317329672682,=6596697910530.1855,=13.2277,=0.7008,=13.9177,=11.7947,=10.6857
2020-08-21,=3284.7300,=4772.1900,=20492417709967.7969,=15295219692574,=6556228936386.4336,=13.1686,=0.6979,=13.9257,=11.7947,=10.6857
2020-08-20,=3264.5300,=4739.5400,=20398107634072.8945,=15219118309608,=6517219673486.9590,=13.1443,=0.6955,=13.9299,=11.7947,=10.6857
2020-08-19,=3307.6600,=4801.5900,=20631553021170.4023,=15395063761567,=6604013507372.2783,=13.2378,=0.7000,=13.9342,=11.7947,=10.6857
2020-08-18,=3367.3300,=4888.0100,=21025750243369.1992,=15698095847833,=6720531518537.5664,=13.4256,=0.7230,=13.9350,=11.7947,=10.6857
2020-08-17,=3368.8500,=4890.2100,=21031939758961.7031,=15682605895456,=6725828731177.2910,=13.5414,=0.7399,=13.9404,=11.7947,=10.6857
2020-08-14,=3288.5100,=4773.6000,=20478616646298.5000,=15289791870293,=6566851110459.6064,=13.2025,=0.6988,=13.9490,=11.7947,=10.6857
2020-08-13,=3241.8400,=4705.8500,=20157174917552.3008,=15045968309355,=6458361278964.8701,=13.0454,=0.6856,=13.9496,=11.7947,=10.6857
2020-08-12,=3249.7400,=4717.3100,=20205894009120.5078,=15077254900399,=6474701983394.9121,=13.1138,=0.6930,=13.9527,=11.7947,=10.6857
2020-08-11,=3262.8200,=4735.0200,=20222586538857.1953,=15118839225201,=6498061397139.2959,=13.0579,=0.6877,=13.9581,=11.7947,=10.6857
2020-08-10,=3285.7600,=4768.3000,=20364589623697.2969,=15198655204132,=6537252153299.0791,=13.1484,=0.6951,=13.9633,=11.7947,=10.6857
2020-08-07,=3263.7500,=4736.3500,=20168859220397.3086,=15084273157912,=6492698489095.3682,=13.0034,=0.6819,=13.9671,=11.7947,=10.6857
