日期,收盘点位,全收益收盘点位(元),市值(元),流通市值(元),自由流通市值(元),PE-TTM中位数,PE-TTM 分位点,PE-TTM 80%分位点值,PE-TTM 50%分位点值,PE-TTM 20%分位点值
2024-10-15,=3855.9900,=5511.7400,=55398499258652.5625,=41333451505003,=18896656147709.5586,=21.2139,=0.2140,=29.0416,=25.2597,=21.0629
2024-10-14,=3961.3400,=5662.2900,=57000035675710.7422,=42487595115154,=19412687972621.1797,=21.8993,=0.2745,=29.0416,=25.2922,=21.0629
2024-10-11,=3887.1700,=5556.2700,=55865768458583.5313,=41696489974717,=19049174696153.1445,=21.7858,=0.2629,=29.0416,=25.3102,=21.0629
2024-10-10,=3997.7900,=5714.2200,=57072698111747.1719,=42686009827663,=19584320935766.6914,=22.4299,=0.3107,=29.0416,=25.3120,=21.0629
2024-10-09,=3955.9800,=5652.7000,=56080918987418.9766,=41968993214605,=19379768163742.3867,=22.2574,=0.2951,=29.0416,=25.3132,=21.0629
2024-10-08,=4256.1000,=6081.4500,=59961322980338.9375,=45084536844234,=20852966491316.9414,=24.2133,=0.4407,=29.0416,=25.3154,=21.0629
2024-09-30,=4017.8500,=5741.0300,=57326558230507.5078,=43070091732415,=19678423313081.5703,=23.3552,=0.3798,=29.0416,=25.3172,=21.0629
2024-09-27,=3703.6800,=5291.9200,=53290120788026.1563,=39957264088213,=18144623200532.9258,=21.4509,=0.2349,=29.0416,=25.3225,=21.0629
2024-09-26,=3545.3200,=5065.6500,=51932748924541.9063,=38722381138143,=17379626935743.4902,=19.8764,=0.1086,=29.0416,=25.3256,=21.0629
2024-09-25,=3401.5300,=4859.4800,=50227281093045.5313,=37331400503019,=16678209464388.8809,=19.3225,=0.0835,=29.0416,=25.3282,=21.0632
2024-09-24,=3351.9100,=4788.3100,=49601007620694.7734,=36832102917890,=16430928551356.7949,=19.2307,=0.0794,=29.0416,=25.3312,=21.0689
2024-09-23,=3212.7600,=4589.5000,=47577229997537.2266,=35297999679988,=15749263426730.4395,=18.4030,=0.0486,=29.0416,=25.3326,=21.0715
